setting,g,base_rate_parameter,regime,budget,method,expectation_mode,groups,coefficient_mse,coefficient_mse_se,conditional_bias_sq_mc_corrected,conditional_bias_sq_mc_corrected_se,gradient_mse,gradient_mse_se,gradient_bias_sq_mc_corrected,gradient_bias_sq_mc_corrected_se,expected_cost,expected_cost_se,complete_group_probability,complete_group_probability_se
g4_p0.05_calibrated,4,0.05,calibrated,0.25,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0195147640539282e-17,1.0,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.25,proxy_completion,exact,256,0.8980749112119281,0.07350153411894235,0.898074911211928,0.07350153411894235,0.27762507399415126,0.03411879165999371,0.27762507399415126,0.03411879165999371,0.0,0.0,0.0,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.25,whole_group_cv,exact,256,2.6942247336357834,0.22050460235682703,6.580276316581067e-33,1.0462085043890175e-33,0.832875221982454,0.10235637497998112,1.8017704812157976e-33,4.001232789657751e-34,1.0,0.0,0.25,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.25,rr_fixed,exact,256,2.1248978340274096,0.2545186897740419,8.511263194267887e-33,1.209365407004624e-33,0.6474322079181936,0.09854812244588276,2.441006934004086e-33,3.76301716910843e-34,1.0,9.083660107616756e-18,0.13421135774093051,0.0010615716444081814
g4_p0.05_calibrated,4,0.05,calibrated,0.25,rr_development,exact,256,2.1248978340274096,0.2545186897740419,8.511263194267887e-33,1.209365407004624e-33,0.6474322079181936,0.09854812244588276,2.441006934004086e-33,3.76301716910843e-34,1.0,9.083660107616756e-18,0.13421135774093051,0.0010615716444081814
g4_p0.05_calibrated,4,0.05,calibrated,0.25,ht_then_normalize,exact,256,3.278943231222218,0.08188108745916178,1.5435387366515796,0.04758295710873752,1.0133910669293584,0.041452751319917845,0.24841472091854983,0.016389186842694237,1.0,0.0,0.00390625,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.25,partial_then_normalize,exact,256,3.171797006771576,0.09153828461757882,1.9504961390468032,0.05989583591992892,0.9671393857530917,0.04554379152974703,0.4561540975015238,0.025752769151740334,1.0,0.0,0.00390625,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.5,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0195147640539282e-17,1.0,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.5,proxy_completion,exact,256,0.8980749112119281,0.07350153411894235,0.898074911211928,0.07350153411894235,0.27762507399415126,0.03411879165999371,0.27762507399415126,0.03411879165999371,0.0,0.0,0.0,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.5,whole_group_cv,exact,256,0.898074911211928,0.07350153411894235,3.8393526288817226e-33,5.072781801155765e-34,0.2776250739941513,0.034118791659993715,1.4752193689422185e-33,2.9061624935739453e-34,2.0,0.0,0.5,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.5,rr_fixed,exact,256,0.6030319421843341,0.09687478528312077,7.508123030437219e-33,1.293062486647495e-33,0.18258949789267634,0.03619459196691217,2.478289939001127e-33,6.442959316869638e-34,2.0,1.691880783037278e-17,0.27893385651252023,0.0026582483906392755
g4_p0.05_calibrated,4,0.05,calibrated,0.5,rr_development,exact,256,0.6253532953767209,0.14566886186657366,6.559286218903486e-33,1.1173028754646295e-33,0.19329456555561592,0.05463886467534645,1.9687340810375238e-33,4.106573528083149e-34,2.0,1.3491451419721868e-17,0.18097392737519735,0.0030415118182279275
g4_p0.05_calibrated,4,0.05,calibrated,0.5,ht_then_normalize,exact,256,3.029358755444824,0.09414471993739683,1.2416536628538868,0.04610466657654642,0.9220741550108293,0.04000069150179303,0.11106636101463999,0.008711955839619824,2.0,0.0,0.0625,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.5,partial_then_normalize,exact,256,2.8068327880065382,0.09159984112437047,1.184874465199986,0.04304767691971606,0.8353869987724912,0.03650096503902932,0.17177574581584024,0.009987053077492267,2.0,0.0,0.0625,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.75,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0195147640539282e-17,1.0,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.75,proxy_completion,exact,256,0.8980749112119281,0.07350153411894235,0.898074911211928,0.07350153411894235,0.27762507399415126,0.03411879165999371,0.27762507399415126,0.03411879165999371,0.0,0.0,0.0,0.0
g4_p0.05_calibrated,4,0.05,calibrated,0.75,whole_group_cv,exact,256,0.2993583037373093,0.024500511372980784,1.2371138611196628e-32,1.8912438629194573e-33,0.09254169133138376,0.011372930553331237,3.958102742098634e-33,1.0311183048199016e-33,3.0,0.0,0.75,0.0
