setting,g,base_rate_parameter,regime,budget_fraction,baseline,groups,coefficient_mse_difference,coefficient_mse_difference_se,coefficient_mse_ratio_of_means,gradient_mse_difference,gradient_mse_difference_se,gradient_mse_ratio_of_means,expected_cost_difference,expected_cost_difference_se,expected_cost_ratio_of_means,total_algorithm_cpu_seconds_difference,total_algorithm_cpu_seconds_difference_se,total_algorithm_cpu_seconds_ratio_of_means
g16_base0.05_calibrated,16,0.05,calibrated,0.25,whole_group_cv,256,-9.161616387720851,0.7312834573773426,0.658411029791982,-0.19205812121564675,0.021254682487377614,0.6584861048503406,-2.203098814490545e-16,3.948238283013132e-17,1.0,0.008136079455089061,6.217398707891358e-05,14.930338424152339
g16_base0.05_calibrated,16,0.05,calibrated,0.25,rr_fixed,256,-2.965891238262761,0.6414685474841328,0.8561982432382925,-0.06363107815306335,0.01891881004242252,0.853366281486351,-3.122502256758253e-17,4.0267980857553106e-17,1.0,0.005160409870462207,3.899057431012777e-05,2.4496656133928085
g16_base0.05_calibrated,16,0.05,calibrated,0.5,whole_group_cv,256,-4.3705305031483235,0.34136173705313827,0.5111370251757842,-0.09204053763688344,0.010140385953599404,0.50900609168075,-3.7470027081099033e-16,6.5445528059511e-17,1.0,0.010569156741959525,8.261445005794182e-05,18.82249414376066
g16_base0.05_calibrated,16,0.05,calibrated,0.5,rr_fixed,256,-0.46718863210593137,0.1676882092227741,0.9072459359040552,-0.01077255499794041,0.004293191708824368,0.8985535904042228,-3.8163916471489756e-17,7.196136842988595e-17,1.0,0.0053055031626709215,3.9563028002838425e-05,1.9058896619127448
g16_base0.05_calibrated,16,0.05,calibrated,0.75,whole_group_cv,256,-2.114781891197569,0.13446209029003242,0.2903571552534665,-0.0447609542442894,0.004089145188715025,0.28366272855095365,-1.2351231148954867e-15,1.0731053319290681e-16,1.0,0.012706393073290191,0.00010046412638344979,22.085074587488467
g16_base0.05_calibrated,16,0.05,calibrated,0.75,rr_fixed,256,-0.1624188378068133,0.059940430759265355,0.8419592188647281,-0.00350792171436678,0.0015609752483942965,0.8347878611208966,-1.1102230246251565e-16,1.1860053117010286e-16,1.0,0.005371712241844406,3.981748229149498e-05,1.6767677037922304
g16_base0.05_overconfident,16,0.05,overconfident,0.25,whole_group_cv,256,1.8468828037659504,1.150981121002171,1.0528397950940447,0.04091912544638047,0.03490698408010042,1.0501810626144958,-2.636779683484747e-16,3.4402075991022374e-17,1.0,0.007531038425136607,1.5162518240027259e-05,15.08637526364722
g16_base0.05_overconfident,16,0.05,overconfident,0.25,rr_fixed,256,-8.555365754755154,0.7164053302707504,0.8113677948626546,-0.1798360356897516,0.02395383792522652,0.8264440505268874,1.734723475976807e-17,3.509152405175986e-17,1.0,0.004802843470101216,9.45715509858116e-06,2.4719880460404546
g16_base0.05_overconfident,16,0.05,overconfident,0.5,whole_group_cv,256,0.4833909105459925,0.5472094705091582,1.0414898172393363,0.008893506989268895,0.0162985307321496,1.0327195872020112,-3.5388358909926865e-16,6.662783593823664e-17,1.0,0.009774390456123315,2.1984858046940176e-05,19.04980131836765
g16_base0.05_overconfident,16,0.05,overconfident,0.5,rr_fixed,256,-0.891706239688202,0.2593829307506767,0.93154375429898,-0.01664113952978409,0.008056910065262048,0.9440341483179628,1.0408340855860843e-16,7.295841621290948e-17,1.0,0.004939788161873794,1.0915051074301704e-05,1.9188379156946949
g16_base0.05_overconfident,16,0.05,overconfident,0.75,whole_group_cv,256,-0.36348585686181506,0.2645398953209207,0.9064051798993518,-0.008473671681979853,0.007482543010545047,0.9064750137867005,-1.2212453270876722e-15,1.0612509697577954e-16,1.0,0.011734628737022216,2.183611451546342e-05,22.38033220414835
g16_base0.05_overconfident,16,0.05,overconfident,0.75,rr_fixed,256,0.10018436600436131,0.14114387459392458,1.029294183013219,0.002826190377910085,0.0038321286024397736,1.0356376812731956,-7.632783294297951e-17,1.1644684849799345e-16,1.0,0.005007980609999071,1.0776729596193839e-05,1.6883349355660686
g16_base0.05_shifted,16,0.05,shifted,0.25,whole_group_cv,256,83.42091596593644,3.1032524805236434,3.0581023985889333,1.747453374909116,0.09723275326925573,2.8664669873192246,-2.5326962749261384e-16,3.787088795393559e-17,1.0,0.007566850428205423,1.5099175023578495e-05,15.133945084584061
g16_base0.05_shifted,16,0.05,shifted,0.25,rr_fixed,256,-5.831223343086508,2.5976970015840153,0.9550701519664172,-0.0960773483469162,0.06912347644041054,0.9654369010685777,-3.9898639947466563e-17,3.7397235306557e-17,1.0,0.004825755234646435,9.462350243327927e-06,2.4728553767455472
g16_base0.05_shifted,16,0.05,shifted,0.5,whole_group_cv,256,38.443057451661566,1.4579181881047696,3.8453205470435283,0.8110721048368696,0.044683459223540736,3.598935107082217,-4.40619762898109e-16,6.882575965714028e-17,1.0,0.009811060450019306,2.0877759471657452e-05,19.105371677423463
g16_base0.05_shifted,16,0.05,shifted,0.5,rr_fixed,256,8.876016138864498,1.1912174519124583,1.2060451410020003,0.18833663546762827,0.03066463469795048,1.2014696139209748,-6.938893903907228e-17,7.426784167724327e-17,1.0,0.004962464467293998,1.0705901917993054e-05,1.9205974199557834
g16_base0.05_shifted,16,0.05,shifted,0.75,whole_group_cv,256,16.66199469962027,0.7524187125358103,4.699657546736895,0.35923327694679374,0.021686312709568164,4.453295839623246,-1.061650767297806e-15,1.0301853268650133e-16,1.0,0.011768356883368518,1.9104170523861513e-05,22.431564825003374
g16_base0.05_shifted,16,0.05,shifted,0.75,rr_fixed,256,6.595228970183043,0.6102719495105214,1.4526449470513831,0.14116824430167157,0.014924872615038153,1.4382865032343348,6.938893903907228e-18,1.0837766395418547e-16,1.0,0.005026741345874351,1.0027503814894786e-05,1.6894703493773031
g16_base0.2_calibrated,16,0.2,calibrated,0.25,whole_group_cv,256,-4.147016631694337,0.3535849094234014,0.8373920128497927,-0.09659586945698076,0.015725919295596837,0.8416785553242849,-2.2724877535296173e-16,3.4673884830540525e-17,1.0,0.0075270260964335565,1.2780932008926103e-05,14.956074394639629
g16_base0.2_calibrated,16,0.2,calibrated,0.25,rr_fixed,256,-5.017730132841554,0.3617652162549603,0.8097461427336006,-0.13130713203403271,0.015158917252313393,0.7963713547211547,6.071532165918825e-17,3.6385109853670694e-17,1.0,0.004606354528381887,9.04145945833144e-06,2.331313073997749
g16_base0.2_calibrated,16,0.2,calibrated,0.5,whole_group_cv,256,-2.0569444737549194,0.17384280632618335,0.758036465539536,-0.04764232945941254,0.007569724811757201,0.7657414606815113,-4.579669976578771e-16,6.934538721363684e-17,1.0,0.009830879812116017,2.012347586394575e-05,19.02403652427472
g16_base0.2_calibrated,16,0.2,calibrated,0.5,rr_fixed,256,-0.8756230561840086,0.10147985532413639,0.8803749532747988,-0.023550489927678622,0.004276382569542606,0.8686408114816544,5.551115123125783e-17,7.415080022875238e-17,1.0,0.004795673118369011,1.090115600600814e-05,1.8593413210155403
g16_base0.2_calibrated,16,0.2,calibrated,0.75,whole_group_cv,256,-1.1762617142769407,0.09224954868648902,0.5849001582661818,-0.026866375862414565,0.0035481000195908773,0.6036920504691662,-1.3461454173580023e-15,1.0970494057155348e-16,1.0,0.011823018886608192,1.9162322506639643e-05,22.39886444399309
g16_base0.2_calibrated,16,0.2,calibrated,0.75,rr_fixed,256,-0.17351757350593688,0.03454909171325329,0.9052303178507858,-0.00455680946084748,0.0013313944590337388,0.8998109240072049,-2.7755575615628914e-17,1.220032583042614e-16,1.0,0.004975250120589686,9.765627898985058e-06,1.6723060583412037
g16_base0.2_overconfident,16,0.2,overconfident,0.25,whole_group_cv,256,0.8678403382322579,0.4657942710537884,1.0308614675302321,0.016082411038099115,0.022733918346602763,1.0214326903752455,-2.896988204881268e-16,3.5876891984360584e-17,1.0,0.007542762564084603,1.2017434138440321e-05,15.146936667869287
g16_base0.2_overconfident,16,0.2,overconfident,0.25,rr_fixed,256,-7.235912050819666,0.46053417400824015,0.8002468312769342,-0.17542837956863344,0.01966865751300666,0.8137463875968345,-1.214306433183765e-17,3.9052021350855387e-17,1.0,0.004616365504749502,8.63885590103961e-06,2.3343755506162065
g16_base0.2_overconfident,16,0.2,overconfident,0.5,whole_group_cv,256,0.4069477777229066,0.22935976437307604,1.0434146872716616,0.00663243677633322,0.010811301005992705,1.0265167262900674,-5.134781488891349e-16,6.762499193799296e-17,1.0,0.0098531345115337,1.837212898821982e-05,19.259423674472828
g16_base0.2_overconfident,16,0.2,overconfident,0.5,rr_fixed,256,-1.0544620838765115,0.1596623060955968,0.9026792438275729,-0.024493739417114344,0.006609022230387899,0.9129108194535832,2.42861286636753e-17,7.429802623959748e-17,1.0,0.004794973223488685,9.62761452361573e-06,1.856584727569889
g16_base0.2_overconfident,16,0.2,overconfident,0.75,whole_group_cv,256,0.06342544090345233,0.12900857753590955,1.0202993786866108,-0.0004734360204161666,0.005279930971637564,0.9943215561070868,-1.2975731600306517e-15,1.1001688249459225e-16,1.0,0.011849295091042072,1.7211715286489722e-05,22.6659283316653
