method,horizon,seed,update,generated_training_trajectories,training_actions,purchased_reference_queries,purchased_invariant_checks,candidate_reference_labels,evaluation_episodes,reference_success,cheap_success,cheap_false_acceptance,reporting_reference_queries
full,12,0,0,0,0,0,0,0,64,0.375,0.765625,0.390625,64
full,12,0,5,40,480,32,384,32,64,0.40625,0.78125,0.375,64
proxy,12,0,0,0,0,0,0,0,64,0.375,0.765625,0.390625,64
proxy,12,0,5,40,480,0,0,32,64,0.40625,0.796875,0.390625,64
whole_group_residual,12,0,0,0,0,0,0,0,64,0.375,0.765625,0.390625,64
whole_group_residual,12,0,5,40,480,25,300,32,64,0.421875,0.796875,0.375,64
rr_completion,12,0,0,0,0,0,0,0,64,0.375,0.765625,0.390625,64
rr_completion,12,0,5,40,480,20,240,32,64,0.484375,0.765625,0.28125,64
naive_reward_ht,12,0,0,0,0,0,0,0,64,0.375,0.765625,0.390625,64
naive_reward_ht,12,0,5,40,480,17,204,32,64,0.40625,0.75,0.34375,64
partial_replacement,12,0,0,0,0,0,0,0,64,0.375,0.765625,0.390625,64
partial_replacement,12,0,5,40,480,17,204,32,64,0.375,0.78125,0.40625,64
full,24,0,0,0,0,0,0,0,64,0.171875,0.765625,0.59375,64
full,24,0,5,40,960,31,744,31,64,0.1875,0.765625,0.578125,64
proxy,24,0,0,0,0,0,0,0,64,0.171875,0.765625,0.59375,64
proxy,24,0,5,40,960,0,0,31,64,0.140625,0.78125,0.640625,64
whole_group_residual,24,0,0,0,0,0,0,0,64,0.171875,0.765625,0.59375,64
whole_group_residual,24,0,5,40,960,15,360,32,64,0.171875,0.796875,0.625,64
rr_completion,24,0,0,0,0,0,0,0,64,0.171875,0.765625,0.59375,64
rr_completion,24,0,5,40,960,15,360,32,64,0.1875,0.78125,0.59375,64
naive_reward_ht,24,0,0,0,0,0,0,0,64,0.171875,0.765625,0.59375,64
naive_reward_ht,24,0,5,40,960,13,312,31,64,0.1875,0.78125,0.59375,64
partial_replacement,24,0,0,0,0,0,0,0,64,0.171875,0.765625,0.59375,64
partial_replacement,24,0,5,40,960,14,336,32,64,0.21875,0.796875,0.578125,64
full,48,0,0,0,0,0,0,0,64,0.03125,0.75,0.71875,64
full,48,0,5,40,1920,29,1392,29,64,0.03125,0.765625,0.734375,64
proxy,48,0,0,0,0,0,0,0,64,0.03125,0.75,0.71875,64
proxy,48,0,5,40,1920,0,0,29,64,0.03125,0.75,0.71875,64
whole_group_residual,48,0,0,0,0,0,0,0,64,0.03125,0.75,0.71875,64
whole_group_residual,48,0,5,40,1920,14,672,29,64,0.03125,0.75,0.71875,64
rr_completion,48,0,0,0,0,0,0,0,64,0.03125,0.75,0.71875,64
rr_completion,48,0,5,40,1920,14,672,29,64,0.03125,0.75,0.71875,64
naive_reward_ht,48,0,0,0,0,0,0,0,64,0.03125,0.75,0.71875,64
naive_reward_ht,48,0,5,40,1920,12,576,29,64,0.03125,0.765625,0.734375,64
partial_replacement,48,0,0,0,0,0,0,0,64,0.03125,0.75,0.71875,64
partial_replacement,48,0,5,40,1920,12,576,29,64,0.015625,0.75,0.734375,64
