horizon,method,baseline,updates,paired_seeds,success_difference,paired_seed_se,comparison
12,full,whole_group_residual,5,1,-0.015625,,same rollout count; different purchased-query counts
12,full,proxy,5,1,0.0,,same rollout count; different purchased-query counts
12,proxy,full,5,1,0.0,,same rollout count; different purchased-query counts
12,proxy,whole_group_residual,5,1,-0.015625,,same rollout count; different purchased-query counts
12,whole_group_residual,full,5,1,0.015625,,same rollout count; different purchased-query counts
12,whole_group_residual,proxy,5,1,0.015625,,same rollout count; different purchased-query counts
12,rr_completion,full,5,1,0.078125,,same rollout count; different purchased-query counts
12,rr_completion,whole_group_residual,5,1,0.0625,,same rollout count; different purchased-query counts
12,rr_completion,proxy,5,1,0.078125,,same rollout count; different purchased-query counts
12,naive_reward_ht,full,5,1,0.0,,same rollout count; different purchased-query counts
12,naive_reward_ht,whole_group_residual,5,1,-0.015625,,same rollout count; different purchased-query counts
12,naive_reward_ht,proxy,5,1,0.0,,same rollout count; different purchased-query counts
12,partial_replacement,full,5,1,-0.03125,,same rollout count; different purchased-query counts
12,partial_replacement,whole_group_residual,5,1,-0.046875,,same rollout count; different purchased-query counts
12,partial_replacement,proxy,5,1,-0.03125,,same rollout count; different purchased-query counts
24,full,whole_group_residual,5,1,0.015625,,same rollout count; different purchased-query counts
24,full,proxy,5,1,0.046875,,same rollout count; different purchased-query counts
24,proxy,full,5,1,-0.046875,,same rollout count; different purchased-query counts
24,proxy,whole_group_residual,5,1,-0.03125,,same rollout count; different purchased-query counts
24,whole_group_residual,full,5,1,-0.015625,,same rollout count; different purchased-query counts
24,whole_group_residual,proxy,5,1,0.03125,,same rollout count; different purchased-query counts
24,rr_completion,full,5,1,0.0,,same rollout count; different purchased-query counts
24,rr_completion,whole_group_residual,5,1,0.015625,,same rollout count; different purchased-query counts
24,rr_completion,proxy,5,1,0.046875,,same rollout count; different purchased-query counts
24,naive_reward_ht,full,5,1,0.0,,same rollout count; different purchased-query counts
24,naive_reward_ht,whole_group_residual,5,1,0.015625,,same rollout count; different purchased-query counts
24,naive_reward_ht,proxy,5,1,0.046875,,same rollout count; different purchased-query counts
24,partial_replacement,full,5,1,0.03125,,same rollout count; different purchased-query counts
24,partial_replacement,whole_group_residual,5,1,0.046875,,same rollout count; different purchased-query counts
24,partial_replacement,proxy,5,1,0.078125,,same rollout count; different purchased-query counts
48,full,whole_group_residual,5,1,0.0,,same rollout count; different purchased-query counts
48,full,proxy,5,1,0.0,,same rollout count; different purchased-query counts
48,proxy,full,5,1,0.0,,same rollout count; different purchased-query counts
48,proxy,whole_group_residual,5,1,0.0,,same rollout count; different purchased-query counts
48,whole_group_residual,full,5,1,0.0,,same rollout count; different purchased-query counts
48,whole_group_residual,proxy,5,1,0.0,,same rollout count; different purchased-query counts
48,rr_completion,full,5,1,0.0,,same rollout count; different purchased-query counts
48,rr_completion,whole_group_residual,5,1,0.0,,same rollout count; different purchased-query counts
48,rr_completion,proxy,5,1,0.0,,same rollout count; different purchased-query counts
48,naive_reward_ht,full,5,1,0.0,,same rollout count; different purchased-query counts
48,naive_reward_ht,whole_group_residual,5,1,0.0,,same rollout count; different purchased-query counts
48,naive_reward_ht,proxy,5,1,0.0,,same rollout count; different purchased-query counts
48,partial_replacement,full,5,1,-0.015625,,same rollout count; different purchased-query counts
48,partial_replacement,whole_group_residual,5,1,-0.015625,,same rollout count; different purchased-query counts
48,partial_replacement,proxy,5,1,-0.015625,,same rollout count; different purchased-query counts
