horizon,method,update,seeds,reference_success_mean,reference_success_seed_se,cheap_success_mean,mean_purchased_queries
12,full,0,1,0.375,,0.765625,0.0
12,full,5,1,0.40625,,0.78125,32.0
12,naive_reward_ht,0,1,0.375,,0.765625,0.0
12,naive_reward_ht,5,1,0.40625,,0.75,17.0
12,partial_replacement,0,1,0.375,,0.765625,0.0
12,partial_replacement,5,1,0.375,,0.78125,17.0
12,proxy,0,1,0.375,,0.765625,0.0
12,proxy,5,1,0.40625,,0.796875,0.0
12,rr_completion,0,1,0.375,,0.765625,0.0
12,rr_completion,5,1,0.484375,,0.765625,20.0
12,whole_group_residual,0,1,0.375,,0.765625,0.0
12,whole_group_residual,5,1,0.421875,,0.796875,25.0
24,full,0,1,0.171875,,0.765625,0.0
24,full,5,1,0.1875,,0.765625,31.0
24,naive_reward_ht,0,1,0.171875,,0.765625,0.0
24,naive_reward_ht,5,1,0.1875,,0.78125,13.0
24,partial_replacement,0,1,0.171875,,0.765625,0.0
24,partial_replacement,5,1,0.21875,,0.796875,14.0
24,proxy,0,1,0.171875,,0.765625,0.0
24,proxy,5,1,0.140625,,0.78125,0.0
24,rr_completion,0,1,0.171875,,0.765625,0.0
24,rr_completion,5,1,0.1875,,0.78125,15.0
24,whole_group_residual,0,1,0.171875,,0.765625,0.0
24,whole_group_residual,5,1,0.171875,,0.796875,15.0
48,full,0,1,0.03125,,0.75,0.0
48,full,5,1,0.03125,,0.765625,29.0
48,naive_reward_ht,0,1,0.03125,,0.75,0.0
48,naive_reward_ht,5,1,0.03125,,0.765625,12.0
48,partial_replacement,0,1,0.03125,,0.75,0.0
48,partial_replacement,5,1,0.015625,,0.75,12.0
48,proxy,0,1,0.03125,,0.75,0.0
48,proxy,5,1,0.03125,,0.75,0.0
48,rr_completion,0,1,0.03125,,0.75,0.0
48,rr_completion,5,1,0.03125,,0.75,14.0
48,whole_group_residual,0,1,0.03125,,0.75,0.0
48,whole_group_residual,5,1,0.03125,,0.75,14.0
