method,horizon,seed,update,cheap_success,candidate_labels,expected_queries,purchased_queries,cumulative_queries,coefficient_norm,gradient_norm,gradient_clip_factor,offline_reference_success,offline_false_acceptance,offline_diagnostic_queries
full,12,0,1,0.625,5,5,5,5,2.8284271247461903,0.08583648898969592,1.0,0.375,0.25,8
full,12,0,2,0.875,7,7,7,12,2.8284271247461903,0.12260357051191229,1.0,0.625,0.25,8
full,12,0,3,1.0,8,8,8,20,2.82842712474619,0.07077867389678529,1.0,0.125,0.875,8
full,12,0,4,0.75,6,6,6,26,2.8284271247461903,0.10610485908239767,1.0,0.75,0.0,8
full,12,0,5,0.75,6,6,6,32,2.8284271247461903,0.13698333987036443,1.0,0.375,0.375,8
proxy,12,0,1,0.625,5,0.0,0,0,2.8284271247461903,0.12022599737560444,1.0,0.375,0.25,8
proxy,12,0,2,0.875,7,0.0,0,0,2.82842712474619,0.19631501479375074,1.0,0.75,0.125,8
proxy,12,0,3,1.0,8,0.0,0,0,0.0,0.0,1.0,0.125,0.875,8
proxy,12,0,4,0.75,6,0.0,0,0,2.8284271247461903,0.11591127955768123,1.0,0.625,0.125,8
proxy,12,0,5,0.75,6,0.0,0,0,2.8284271247461903,0.1970690800126868,1.0,0.375,0.375,8
whole_group_residual,12,0,1,0.625,5,2.5,5,5,4.116532027769846,0.15211736242779994,1.0,0.375,0.25,8
whole_group_residual,12,0,2,0.875,7,3.5,0,5,2.031468873439926,0.07666149884872418,1.0,0.625,0.25,8
whole_group_residual,12,0,3,1.0,8,4.0,8,13,5.06394914273432,0.1420090575788502,1.0,0.125,0.875,8
whole_group_residual,12,0,4,0.75,6,3.0,6,19,3.983638950855796,0.1595884566517677,1.0,0.75,0.0,8
whole_group_residual,12,0,5,0.75,6,3.0,6,25,4.292619266984054,0.21343225403153746,1.0,0.375,0.375,8
rr_completion,12,0,1,0.625,5,2.5,5,5,4.468214435613887,0.1847790959650933,1.0,0.375,0.25,8
rr_completion,12,0,2,0.875,7,3.5,2,7,2.450039516494958,0.10408037915497607,1.0,0.625,0.25,8
rr_completion,12,0,3,1.0,8,4.0,8,15,6.374187383658997,0.2394287036371182,1.0,0.125,0.875,8
rr_completion,12,0,4,0.75,6,3.0,2,17,2.6638308650818967,0.13246677034375018,1.0,0.75,0.0,8
rr_completion,12,0,5,0.75,6,3.0,3,20,3.10202850692706,0.14819994999717961,1.0,0.375,0.375,8
naive_reward_ht,12,0,1,0.625,5,2.5,4,4,2.8284271247461903,0.0837962163648074,1.0,0.375,0.25,8
naive_reward_ht,12,0,2,0.875,7,3.5,2,6,0.0,0.0,1.0,0.625,0.25,8
naive_reward_ht,12,0,3,1.0,8,4.0,5,11,0.0,0.0,1.0,0.125,0.875,8
naive_reward_ht,12,0,4,0.75,6,3.0,2,13,2.8284271247461903,0.1421129721327455,1.0,0.75,0.0,8
naive_reward_ht,12,0,5,0.75,6,3.0,4,17,2.82842712474619,0.03631534373778678,1.0,0.375,0.375,8
partial_replacement,12,0,1,0.625,5,2.5,4,4,2.8284271247461903,0.08583648898969592,1.0,0.375,0.25,8
partial_replacement,12,0,2,0.875,7,3.5,2,6,2.8284271247461903,0.12260357051191229,1.0,0.625,0.25,8
partial_replacement,12,0,3,1.0,8,4.0,5,11,2.8284271247461903,0.10652424117205411,1.0,0.125,0.875,8
partial_replacement,12,0,4,0.75,6,3.0,2,13,2.8284271247461903,0.116262669000442,1.0,0.625,0.125,8
partial_replacement,12,0,5,0.75,6,3.0,4,17,2.8284271247461903,0.13206512257924616,1.0,0.375,0.375,8
full,24,0,1,0.875,7,7,7,7,2.8284271247461903,0.057224609588564755,1.0,0.375,0.5,8
full,24,0,2,1.0,8,8,8,15,2.8284271247461903,0.08854094602053066,1.0,0.375,0.625,8
full,24,0,3,0.375,3,3,3,18,2.82842712474619,0.08649564362515745,1.0,0.125,0.25,8
full,24,0,4,0.875,7,7,7,25,2.8284271247461903,0.10472317690784623,1.0,0.25,0.625,8
full,24,0,5,0.75,6,6,6,31,2.82842712474619,0.05502274002126874,1.0,0.125,0.625,8
proxy,24,0,1,0.875,7,0.0,0,0,2.82842712474619,0.04830051420763952,1.0,0.375,0.5,8
proxy,24,0,2,1.0,8,0.0,0,0,0.0,0.0,1.0,0.375,0.625,8
proxy,24,0,3,0.375,3,0.0,0,0,2.8284271247461903,0.06836515926143814,1.0,0.125,0.25,8
proxy,24,0,4,0.875,7,0.0,0,0,2.82842712474619,0.08593452770414972,1.0,0.125,0.75,8
proxy,24,0,5,0.75,6,0.0,0,0,2.8284271247461903,0.151465978633059,1.0,0.125,0.625,8
whole_group_residual,24,0,1,0.875,7,3.5,0,0,2.031468873439926,0.018697228030119504,1.0,0.375,0.5,8
whole_group_residual,24,0,2,1.0,8,4.0,8,8,4.595512621779517,0.1668194109629113,1.0,0.375,0.625,8
whole_group_residual,24,0,3,0.5,4,2.0,0,8,2.112359995801244,0.04308175508738089,1.0,0.25,0.25,8
whole_group_residual,24,0,4,0.875,7,3.5,7,15,5.036387149682884,0.19357758000050637,1.0,0.125,0.75,8
whole_group_residual,24,0,5,0.75,6,3.0,0,15,2.11067801117026,0.0644075671020742,1.0,0.25,0.5,8
rr_completion,24,0,1,0.875,7,3.5,1,1,2.1461113832526553,0.02815473313239913,1.0,0.375,0.5,8
rr_completion,24,0,2,1.0,8,4.0,8,9,5.20153277363745,0.212826508005362,1.0,0.375,0.625,8
rr_completion,24,0,3,0.5,4,2.0,1,10,2.64317887369894,0.057731990153877,1.0,0.25,0.25,8
rr_completion,24,0,4,0.875,7,3.5,5,15,4.2181296443858525,0.22594098567185167,1.0,0.125,0.75,8
rr_completion,24,0,5,0.75,6,3.0,0,15,2.11067801117026,0.06776121139439646,1.0,0.25,0.5,8
naive_reward_ht,24,0,1,0.875,7,3.5,3,3,2.8284271247461903,0.042221229348211244,1.0,0.375,0.5,8
naive_reward_ht,24,0,2,1.0,8,4.0,3,6,2.82842712474619,0.04756149761736283,1.0,0.375,0.625,8
naive_reward_ht,24,0,3,0.375,3,1.5,1,7,0.0,0.0,1.0,0.125,0.25,8
naive_reward_ht,24,0,4,0.875,7,3.5,3,10,0.0,0.0,1.0,0.25,0.625,8
naive_reward_ht,24,0,5,0.75,6,3.0,3,13,2.82842712474619,0.05392951797902311,1.0,0.125,0.625,8
partial_replacement,24,0,1,0.875,7,3.5,3,3,2.8284271247461903,0.07982778938235893,1.0,0.375,0.5,8
partial_replacement,24,0,2,1.0,8,4.0,3,6,2.8284271247461903,0.06898569168928971,1.0,0.375,0.625,8
partial_replacement,24,0,3,0.5,4,2.0,2,8,2.8284271247461903,0.08941200300453835,1.0,0.25,0.25,8
partial_replacement,24,0,4,0.875,7,3.5,3,11,2.8284271247461903,0.07645590277336863,1.0,0.125,0.75,8
partial_replacement,24,0,5,0.75,6,3.0,3,14,2.8284271247461903,0.0943296981046903,1.0,0.125,0.625,8
full,48,0,1,0.75,6,6,6,6,0.0,0.0,1.0,0.0,0.75,8
full,48,0,2,0.625,5,5,5,11,0.0,0.0,1.0,0.0,0.625,8
full,48,0,3,1.0,8,8,8,19,2.8284271247461903,0.034944836878573984,1.0,0.25,0.75,8
full,48,0,4,0.625,5,5,5,24,0.0,0.0,1.0,0.0,0.625,8
full,48,0,5,0.625,5,5,5,29,2.82842712474619,0.031470890094898084,1.0,0.125,0.5,8
proxy,48,0,1,0.75,6,0.0,0,0,2.8284271247461903,0.06637220256370757,1.0,0.0,0.75,8
proxy,48,0,2,0.625,5,0.0,0,0,2.8284271247461903,0.07840415925515304,1.0,0.0,0.625,8
proxy,48,0,3,1.0,8,0.0,0,0,0.0,0.0,1.0,0.0,1.0,8
proxy,48,0,4,0.625,5,0.0,0,0,2.8284271247461903,0.0900278182678367,1.0,0.0,0.625,8
proxy,48,0,5,0.625,5,0.0,0,0,2.8284271247461903,0.06458766803091162,1.0,0.125,0.5,8
whole_group_residual,48,0,1,0.75,6,3.0,6,6,2.11067801117026,0.033209523523196935,1.0,0.0,0.75,8
whole_group_residual,48,0,2,0.625,5,2.5,0,6,2.133406735854299,0.05156077176614677,1.0,0.0,0.625,8
whole_group_residual,48,0,3,1.0,8,4.0,8,14,1.8435163578247897,0.0,1.0,0.0,1.0,8
whole_group_residual,48,0,4,0.625,5,2.5,0,14,2.133406735854299,0.05049677586461358,1.0,0.0,0.625,8
whole_group_residual,48,0,5,0.625,5,2.5,0,14,2.133406735854299,0.037668777330830024,1.0,0.125,0.5,8
rr_completion,48,0,1,0.75,6,3.0,2,2,2.3355358400935486,0.04075564647997361,1.0,0.0,0.75,8
rr_completion,48,0,2,0.625,5,2.5,2,4,2.3444531504039023,0.07986046792034579,1.0,0.0,0.625,8
rr_completion,48,0,3,1.0,8,4.0,8,12,3.7658441018761857,0.03613338354260006,1.0,0.0,1.0,8
rr_completion,48,0,4,0.625,5,2.5,2,14,2.3444531504039023,0.050287223890921044,1.0,0.0,0.625,8
rr_completion,48,0,5,0.625,5,2.5,0,14,2.133406735854299,0.03401131894345095,1.0,0.125,0.5,8
naive_reward_ht,48,0,1,0.75,6,3.0,3,3,0.0,0.0,1.0,0.0,0.75,8
naive_reward_ht,48,0,2,0.625,5,2.5,2,5,0.0,0.0,1.0,0.0,0.625,8
naive_reward_ht,48,0,3,1.0,8,4.0,3,8,2.8284271247461903,0.034944836878573984,1.0,0.25,0.75,8
naive_reward_ht,48,0,4,0.625,5,2.5,1,9,0.0,0.0,1.0,0.0,0.625,8
naive_reward_ht,48,0,5,0.625,5,2.5,3,12,0.0,0.0,1.0,0.125,0.5,8
partial_replacement,48,0,1,0.75,6,3.0,3,3,2.8284271247461903,0.06603405861158629,1.0,0.0,0.75,8
partial_replacement,48,0,2,0.625,5,2.5,2,5,2.8284271247461903,0.0730593917418695,1.0,0.0,0.625,8
partial_replacement,48,0,3,1.0,8,4.0,3,8,2.8284271247461903,0.07305438913489172,1.0,0.0,1.0,8
partial_replacement,48,0,4,0.625,5,2.5,1,9,2.8284271247461903,0.07531911051924793,1.0,0.0,0.625,8
partial_replacement,48,0,5,0.625,5,2.5,3,12,2.8284271247461903,0.06936443981450484,1.0,0.125,0.5,8
