horizon,method,baseline,updates,paired_seeds,success_difference,paired_seed_se,comparison
12,full,whole_group_residual,300,10,0.005859375,0.0044059698738772475,same rollout count; different purchased-query counts
12,full,proxy,300,10,0.76640625,0.03659664982817188,same rollout count; different purchased-query counts
12,proxy,full,300,10,-0.76640625,0.03659664982817188,same rollout count; different purchased-query counts
12,proxy,whole_group_residual,300,10,-0.760546875,0.037217951540670265,same rollout count; different purchased-query counts
12,whole_group_residual,full,300,10,-0.005859375,0.0044059698738772475,same rollout count; different purchased-query counts
12,whole_group_residual,proxy,300,10,0.760546875,0.037217951540670265,same rollout count; different purchased-query counts
12,rr_completion,full,300,10,-0.005078125,0.004241275384089149,same rollout count; different purchased-query counts
12,rr_completion,whole_group_residual,300,10,0.00078125,0.002899877272307303,same rollout count; different purchased-query counts
12,rr_completion,proxy,300,10,0.761328125,0.03691790884208597,same rollout count; different purchased-query counts
12,naive_reward_ht,full,300,10,-0.072265625,0.004983765419011623,same rollout count; different purchased-query counts
12,naive_reward_ht,whole_group_residual,300,10,-0.06640625,0.0031358319215604932,same rollout count; different purchased-query counts
12,naive_reward_ht,proxy,300,10,0.694140625,0.03676420243859753,same rollout count; different purchased-query counts
12,partial_replacement,full,300,10,-0.029296875,0.003255208333333333,same rollout count; different purchased-query counts
12,partial_replacement,whole_group_residual,300,10,-0.0234375,0.0027926576288446895,same rollout count; different purchased-query counts
12,partial_replacement,proxy,300,10,0.737109375,0.03687011686417775,same rollout count; different purchased-query counts
24,full,whole_group_residual,300,10,0.001953125,0.0024876267154352602,same rollout count; different purchased-query counts
24,full,proxy,300,10,0.6359375,0.03143823516370366,same rollout count; different purchased-query counts
24,proxy,full,300,10,-0.6359375,0.03143823516370366,same rollout count; different purchased-query counts
24,proxy,whole_group_residual,300,10,-0.633984375,0.03154725162809683,same rollout count; different purchased-query counts
24,whole_group_residual,full,300,10,-0.001953125,0.0024876267154352602,same rollout count; different purchased-query counts
24,whole_group_residual,proxy,300,10,0.633984375,0.03154725162809683,same rollout count; different purchased-query counts
24,rr_completion,full,300,10,-0.00390625,0.0035895960291901616,same rollout count; different purchased-query counts
24,rr_completion,whole_group_residual,300,10,-0.001953125,0.004044850147658611,same rollout count; different purchased-query counts
24,rr_completion,proxy,300,10,0.63203125,0.029224737577236398,same rollout count; different purchased-query counts
24,naive_reward_ht,full,300,10,-0.1453125,0.00688505420125119,same rollout count; different purchased-query counts
24,naive_reward_ht,whole_group_residual,300,10,-0.143359375,0.006741975763541467,same rollout count; different purchased-query counts
24,naive_reward_ht,proxy,300,10,0.490625,0.030320374120474756,same rollout count; different purchased-query counts
24,partial_replacement,full,300,10,-0.08359375,0.005311478659992485,same rollout count; different purchased-query counts
24,partial_replacement,whole_group_residual,300,10,-0.081640625,0.005382819429321455,same rollout count; different purchased-query counts
24,partial_replacement,proxy,300,10,0.55234375,0.029670362378067326,same rollout count; different purchased-query counts
48,full,whole_group_residual,300,10,0.026953125,0.011579760249644038,same rollout count; different purchased-query counts
48,full,proxy,300,10,0.54375,0.01118276591332494,same rollout count; different purchased-query counts
48,proxy,full,300,10,-0.54375,0.01118276591332494,same rollout count; different purchased-query counts
48,proxy,whole_group_residual,300,10,-0.516796875,0.014024471149231438,same rollout count; different purchased-query counts
48,whole_group_residual,full,300,10,-0.026953125,0.011579760249644038,same rollout count; different purchased-query counts
48,whole_group_residual,proxy,300,10,0.516796875,0.014024471149231438,same rollout count; different purchased-query counts
48,rr_completion,full,300,10,-0.013671875,0.01479168959065125,same rollout count; different purchased-query counts
48,rr_completion,whole_group_residual,300,10,0.01328125,0.00718391365840298,same rollout count; different purchased-query counts
48,rr_completion,proxy,300,10,0.530078125,0.01804266575491002,same rollout count; different purchased-query counts
48,naive_reward_ht,full,300,10,-0.257421875,0.014919511520211917,same rollout count; different purchased-query counts
48,naive_reward_ht,whole_group_residual,300,10,-0.23046875,0.015450413514782631,same rollout count; different purchased-query counts
48,naive_reward_ht,proxy,300,10,0.286328125,0.006964624541831422,same rollout count; different purchased-query counts
48,partial_replacement,full,300,10,-0.280078125,0.02210514167363463,same rollout count; different purchased-query counts
48,partial_replacement,whole_group_residual,300,10,-0.253125,0.02227133515960969,same rollout count; different purchased-query counts
48,partial_replacement,proxy,300,10,0.263671875,0.017471707194786294,same rollout count; different purchased-query counts
