horizon,method,seed,shared_query_ceiling,update,actual_queries,actual_training_trajectories,reference_success,comparison,zero_query_proxy
12,full,0,1076.0,150,1037,1200,0.8515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,1,1076.0,150,1041,1200,0.88671875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,2,1076.0,150,1054,1200,0.8515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,3,1076.0,150,1057,1200,0.87890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,4,1076.0,150,1040,1200,0.8984375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,5,1076.0,150,1060,1200,0.890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,6,1076.0,150,1063,1200,0.8828125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,7,1076.0,150,1046,1200,0.8828125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,8,1076.0,150,1055,1200,0.8671875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,full,9,1076.0,150,1046,1200,0.87109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
12,proxy,0,1076.0,300,0,2400,0.21875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,1,1076.0,300,0,2400,0.109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,2,1076.0,300,0,2400,0.1796875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,3,1076.0,300,0,2400,0.12890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,4,1076.0,300,0,2400,0.359375,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,5,1076.0,300,0,2400,0.375,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,6,1076.0,300,0,2400,0.046875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,7,1076.0,300,0,2400,0.14453125,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,8,1076.0,300,0,2400,0.06640625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,proxy,9,1076.0,300,0,2400,0.11328125,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
12,whole_group_residual,0,1076.0,300,1023,2400,0.921875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
