year,state,state_name,n_complete,employed_all,n_mental_missing,finite_file_unweighted_mean,finite_file_variance,finite_file_standard_deviation,finite_file_weighted_ratio,sum_survey_weight,mean_survey_weight,kish_weight_concentration_n,minimum_survey_weight,maximum_survey_weight,observed_strata,observed_psus
2023,01,Alabama,1917,1941,24,8.536080681620588,7.211777069245417,2.6854752036176794,8.429653325129378,2153933.1436888,1123.5957974380801,1180.6016359654109,66.1221327,11199.3831,33,1917
2023,02,Alaska,2926,2971,45,8.634768740031898,6.631396891532877,2.575149877489246,8.469284916360811,332857.73768703,113.75862532024264,1620.3311008061264,3.73048607,1307.36402,32,2926
2023,04,Arizona,4920,4984,64,8.597357723577236,6.878642521537005,2.622716630049271,8.44118037316824,3053111.17345869,620.5510515159939,2375.704128814661,6.09817509,7001.2113,39,4920
2023,05,Arkansas,2175,2202,27,8.390344827586206,8.12282887215396,2.850057696285105,8.154073853544967,1198069.6387783,550.8366155302529,1409.0745298587806,12.9640572,4673.26728,16,2175
2023,06,California,5765,5893,128,8.510205261636312,7.135161343624624,2.6711722789113814,8.570140636559026,16817833.0273216,2917.2303603333216,2748.834754360873,42.0792954,32807.3316,29,5765
2023,08,Colorado,4889,4939,50,8.438603668098454,6.915897088915433,2.6298093255815016,8.32687159401809,2812651.3147775,575.3019666143383,3254.4213645004397,51.0751812,5208.20576,44,4889
2023,09,Connecticut,5115,5180,65,8.596546106223526,6.8221494695533735,2.611924476234597,8.504306120947838,1657805.38880013,324.1066253763695,2207.704169719224,8.94678443,5973.85506,33,5115
2023,10,Delaware,1865,1895,30,8.574441465594282,7.0383816138659485,2.652994838642915,8.451812435547891,443891.7412619,238.0116575130831,945.3417287439236,11.7128977,2316.87618,12,1865
2023,11,District of Columbia,1860,1876,16,8.73978494623656,4.957616680155702,2.226570609739494,8.537839937919184,366929.2585712,197.2737949307527,1049.4337093796803,13.3126193,1899.85716,5,1860
2023,12,Florida,5208,5285,77,8.456605222734256,8.118785949458983,2.8493483376833697,8.418088083543315,9058250.10811059,1739.2953356587154,1316.9465401442083,6.51722806,40804.1168,203,5208
2023,13,Georgia,3540,3588,48,8.568738229755178,7.083630360227123,2.661509038163711,8.426943047994769,4597716.065992,1298.7898491502824,1844.2388009640333,46.0817956,13008.2654,79,3540
