org_code,org_name,benchmark_group,is_trust,available_years,complete_five_year_history,official_2025_no_history,comparability_reason
G6V2S,North London NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2025,0,1,Acquisition of RRP by TAF; new North London trust
NAX,East Coast Community Healthcare CIC,Social Enterprises Community,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
NDJ,First Community Health and Care,Social Enterprises Community,0,2025,0,1,Substantial workforce-size change
NLX,Sirona Care & Health,Social Enterprises Community,0,2021;2022;2023;2024;2025,1,0,All five official histories available
NQL,NAViGO Health and Social Care CIC,Social Enterprises MH,0,2021;2022;2023;2024;2025,1,0,All five official histories available
NQV,Bromley Healthcare CIC,Social Enterprises Community,0,2025,0,1,No participation in 2024; guide names Medway but workbook names Bromley (source discrepancy)
NR3,Nottingham CityCare Partnership,Social Enterprises Community,0,2021;2022;2023;2024;2025,1,0,All five official histories available
NR5,Livewell Southwest,Social Enterprises Community,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
NTV,CSH Surrey,Social Enterprises Community,0,2025,0,1,Substantial workforce-size change
NXP,Independent Health Group,Community Surgical Services,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QE1,NHS Lancashire and South Cumbria ICB,ICBs,0,2025,0,1,No participation in 2024
QF7,NHS South Yorkshire ICB,ICBs,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QGH,NHS Herefordshire and Worcestershire ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QHL,NHS Birmingham and Solihull ICB,ICBs,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QHM,NHS North East and North Cumbria ICB,ICBs,0,2025,0,1,Substantial workforce-size change
QJ2,NHS Derby and Derbyshire ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QJG,NHS Suffolk and North East Essex ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QJK,NHS Devon ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QJM,NHS Lincolnshire ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QK1,"NHS Leicester, Leicestershire and Rutland ICB",ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QMM,NHS Norfolk and Waveney ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QNC,NHS Staffordshire and Stoke-on-Trent ICB,ICBs,0,2025,0,1,Substantial workforce-size change
QOC,"NHS Shropshire, Telford and Wrekin ICB",ICBs,0,2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QOQ,NHS Humber and North Yorkshire ICB,ICBs,0,2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QPM,NHS Northamptonshire ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QRL,NHS Hampshire and Isle of Wight ICB,ICBs,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QT1,NHS Nottingham and Nottinghamshire ICB,ICBs,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QT6,NHS Cornwall and the Isles of Scilly ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
QUA,NHS Black Country ICB,ICBs,0,2022;2023;2024;2025,0,0,Earlier histories not provided in 2025 workbook; no values backfilled
QWE,NHS South West London ICB,ICBs,0,2021;2022;2023;2024;2025,1,0,All five official histories available
