org_code,org_name,benchmark_group,ess_factor,assumed_beta,assumed_tau,assumed_individual_sd,nominal_burnout_n,observed_burnout,posterior_mean,posterior_sd,repeat_floor_sd,selected,review_slots,ordinary_KG,validation_KG,ordinary_KG_per_cost,validation_KG_per_cost,preferred_channel,action_priority_rank,evidence_type
R0A,Manchester University NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,10685,5.033296606876863,5.032865643229097,0.02412783445766586,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,83,model_conditional_scenario_no_new_NHS_observations
R0B,South Tyneside and Sunderland NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4681,5.102526485582064,5.100802281017739,0.03634265942014704,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,84,model_conditional_scenario_no_new_NHS_observations
R0D,University Hospitals Dorset NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,5519,4.99703607359645,4.996537546283095,0.03349743981331356,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,85,model_conditional_scenario_no_new_NHS_observations
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,2399,5.188850693999996,5.189749561860129,0.05050741686812831,0.0,False,36,4.578070673582934e-115,4.578070673582934e-115,4.578070673582934e-115,9.156141347165869e-116,ordinary,46,model_conditional_scenario_no_new_NHS_observations
R1D,Shropshire Community Health NHS Trust,Community Trusts,1.0,0.0,0.35,2.5,995,5.145010753504204,5.147489044155781,0.07729829769568716,0.0,False,36,2.9273730277556353e-56,2.9273730277556353e-56,2.9273730277556353e-56,5.85474605551127e-57,ordinary,32,model_conditional_scenario_no_new_NHS_observations
R1F1,Isle of Wight NHS Trust (acute sector),Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1420,4.706366986566817,4.714560787335583,0.06518244692666424,0.0,True,36,6.009400462285821e-38,6.009400462285821e-38,6.009400462285821e-38,1.2018800924571642e-38,ordinary,24,model_conditional_scenario_no_new_NHS_observations
R1F2,Isle of Wight NHS Trust (ambulance sector),Ambulance Trusts,1.0,0.0,0.35,2.5,170,4.500436279582561,4.486141289814408,0.1681604343217615,0.0,False,36,7.430458425034814e-13,7.430458425034814e-13,7.430458425034814e-13,1.4860916850069629e-13,ordinary,7,model_conditional_scenario_no_new_NHS_observations
R1H,Barts Health NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,9566,4.912268004676804,4.912428979084715,0.025492929200408736,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,86,model_conditional_scenario_no_new_NHS_observations
R1K,London North West University Healthcare NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4285,5.034382577516363,5.033302729927531,0.0379659568552298,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,87,model_conditional_scenario_no_new_NHS_observations
R1L,Essex Partnership University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,3632,5.268213995895022,5.267712531539786,0.04119437764235074,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,88,model_conditional_scenario_no_new_NHS_observations
