scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,ordinary_count_mean,validation_count_mean,mean_estimate,reference,state
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.36,0.0,8.536612231289945,8.35949741315595,01
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.06,0.0,8.564710931336977,8.635873229939312,02
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,41.1,0.0,8.554395205952787,8.519881085098477,04
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.08,0.0,8.535043753650877,8.29320987654321,05
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.5,0.0,8.545401109102524,8.431945521937767,06
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.6,0.0,8.551810533119143,8.508233957978423,08
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.84,0.0,8.555478467505335,8.553915436577434,09
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.58,0.0,8.571232428780307,8.68655574679671,10
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.24,0.0,8.577321786079235,8.715625586193958,11
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.94,0.0,8.557069544771092,8.560529336304098,12
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.64,0.0,8.546723504632196,8.443810730882975,13
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,38.86,0.0,8.562744314515593,8.658482845451683,15
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.46,0.0,8.554003627495337,8.519994162288384,16
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.62,0.0,8.567689835786304,8.66492682427592,17
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.18,0.0,8.54923265809745,8.485706993363962,18
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.48,0.0,8.560810990198162,8.577984966753396,19
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.76,0.0,8.554593168417238,8.534743722050223,20
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.4,0.0,8.536432984655109,8.30594265577447,22
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.88,0.0,8.560407503822109,8.594057633792733,23
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,38.88,0.0,8.564976475512655,8.630635650276268,24
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.82,0.0,8.569157683691227,8.637808611816821,25
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.92,0.0,8.554067815493392,8.529325204961111,26
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.32,0.0,8.565761173465702,8.632127728901924,27
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.52,0.0,8.569785371020473,8.698599093531108,28
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.42,0.0,8.54205336623635,8.384601691143747,29
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.42,0.0,8.558891279661841,8.572748028227481,30
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.72,0.0,8.584211792498383,8.814423125346226,31
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.06,0.0,8.53342414606149,8.271645021645021,32
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,38.82,0.0,8.578459312886757,8.757779437391088,33
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.62,0.0,8.567532628539709,8.648255191607793,34
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.58,0.0,8.533429524687165,8.344547053649956,35
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.66,0.0,8.555504048152711,8.55199342375668,36
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.7,0.0,8.551195602538147,8.525340283811179,37
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.7,0.0,8.593111118799555,8.852889474840696,38
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.18,0.0,8.55311079840688,8.497960372960375,39
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.5,0.0,8.546425333872007,8.43805003460892,40
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.4,0.0,8.52361435954009,8.179193899782135,41
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.4,0.0,8.573710190013,8.715135738192634,44
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.1,0.0,8.568032002746763,8.683043063859284,45
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.18,0.0,8.581825439891352,8.805004409171076,46
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,38.78,0.0,8.55105221116469,8.50069498069498,48
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.6,0.0,8.546637748447056,8.465273829827554,49
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.56,0.0,8.558672691641538,8.580938833570412,50
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.48,0.0,8.560424219637785,8.594168096054887,51
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.18,0.0,8.543872889919433,8.444160681032189,53
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.74,0.0,8.535614007152196,8.267142457318778,54
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,40.0,0.0,8.551262401930304,8.5075743170438,55
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform,39.16,0.0,8.565693431450327,8.636943744752307,56
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.36,0.0,8.536612231289945,8.35949741315595,01
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.06,0.0,8.564710931336977,8.635873229939312,02
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,41.1,0.0,8.554395205952787,8.519881085098477,04
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.08,0.0,8.535043753650877,8.29320987654321,05
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.5,0.0,8.545401109102524,8.431945521937767,06
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.6,0.0,8.551810533119143,8.508233957978423,08
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.84,0.0,8.555478467505335,8.553915436577434,09
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.58,0.0,8.571232428780307,8.68655574679671,10
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.24,0.0,8.577321786079235,8.715625586193958,11
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.94,0.0,8.557069544771092,8.560529336304098,12
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.64,0.0,8.546723504632196,8.443810730882975,13
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,38.86,0.0,8.562744314515593,8.658482845451683,15
