analysis_stage,scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,state,ordinary_count_mean,validation_count_mean,mean_estimate,reference
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,01,38.8,0.0,8.555174205772918,8.35949741315595
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,02,40.2,0.0,8.557168895756899,8.635873229939312
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,04,40.04,0.0,8.556859487320494,8.519881085098477
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,05,42.04,0.0,8.554700757412043,8.29320987654321
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,06,42.16,0.0,8.554528627772914,8.431945521937767
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,08,41.0,0.0,8.556480352622463,8.508233957978423
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,09,40.0,0.0,8.556488210077388,8.553915436577434
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,10,37.6,0.0,8.558262949891418,8.68655574679671
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,11,41.0,0.0,8.558303870305398,8.715625586193958
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,12,33.56,0.0,8.558555322728735,8.560529336304098
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,13,41.4,0.0,8.55565483526163,8.443810730882975
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,15,37.92,0.0,8.557977361980692,8.658482845451683
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,16,41.72,0.0,8.556315092036947,8.519994162288384
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,17,40.76,0.0,8.55777387738283,8.66492682427592
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,18,40.88,0.0,8.556755044662244,8.485706993363962
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,19,39.28,0.0,8.557297235812122,8.577984966753396
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,20,42.56,0.0,8.557001902972482,8.534743722050223
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,22,42.24,0.0,8.554694743318668,8.30594265577447
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,23,37.44,0.0,8.55710810009895,8.594057633792733
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,24,40.92,0.0,8.55792016248973,8.630635650276268
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,25,37.6,0.0,8.558490306413868,8.637808611816821
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,26,40.0,0.0,8.55627411590572,8.529325204961111
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,27,40.44,0.0,8.557511763227554,8.632127728901924
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,28,32.48,0.0,8.558719737188829,8.698599093531108
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,29,41.04,0.0,8.554998796830557,8.384601691143747
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,30,41.04,0.0,8.557240399373448,8.572748028227481
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,31,35.92,0.0,8.560151376894307,8.814423125346226
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,32,40.88,0.0,8.55368970035443,8.271645021645021
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,33,39.28,0.0,8.558568723213243,8.757779437391088
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,34,40.0,0.0,8.556962154347435,8.648255191607793
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,35,37.0,0.0,8.554255244013406,8.344547053649956
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,36,41.16,0.0,8.556077010389325,8.55199342375668
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,37,42.96,0.0,8.554944403897077,8.525340283811179
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,38,38.12,0.0,8.55961782293538,8.852889474840696
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,39,45.48,0.0,8.555076283033369,8.497960372960375
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,40,41.4,0.0,8.555782892434713,8.43805003460892
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,41,41.44,0.0,8.552606660540176,8.179193899782135
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,44,39.28,0.0,8.558593740515619,8.715135738192634
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,45,40.68,0.0,8.557899425372664,8.683043063859284
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,46,36.76,0.0,8.559390960918234,8.805004409171076
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,48,44.08,0.0,8.555227821990254,8.50069498069498
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,49,42.64,0.0,8.55551269831456,8.465273829827554
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,ordinary_kg,50,39.52,0.0,8.558070621822655,8.580938833570412
