org_code,guide_year,guide_section,reason,source_url,source_sha256
G6V2S,2025,8.1,Acquisition of RRP by TAF; new North London trust,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
NDJ,2025,8.1,Substantial workforce-size change,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
NQV,2025,8.1,No participation in 2024; guide names Medway but workbook names Bromley (source discrepancy),https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
NTV,2025,8.1,Substantial workforce-size change,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
QE1,2025,8.1,No participation in 2024,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
QHM,2025,8.1,Substantial workforce-size change,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
QNC,2025,8.1,Substantial workforce-size change,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
RA9,2023,8.1,Historical sample-drawing errors; no comparable pre-2023 history,https://www.nhsstaffsurveys.com/static/67edc962a64e8dabc9ef584a18f1bf5a/NHS-Staff-Survey-2023-Technical-guide_V4.pdf,2c680a28c461026fb0e40ce02f7da19dba165570dca734757648c747e7801ad4
RAL,2025,8.1,Acquisition of RAP by RAL,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
RAX,2025,8.1,Acquisition of RY9 by RAX,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
RBN,2023,8.1,Merger of RBN and RVY; no comparable pre-2023 history,https://www.nhsstaffsurveys.com/static/67edc962a64e8dabc9ef584a18f1bf5a/NHS-Staff-Survey-2023-Technical-guide_V4.pdf,2c680a28c461026fb0e40ce02f7da19dba165570dca734757648c747e7801ad4
RH5,2023,8.1,Merger of RA4 and RH5; no comparable pre-2023 history,https://www.nhsstaffsurveys.com/static/67edc962a64e8dabc9ef584a18f1bf5a/NHS-Staff-Survey-2023-Technical-guide_V4.pdf,2c680a28c461026fb0e40ce02f7da19dba165570dca734757648c747e7801ad4
RH8,2022,8.1,Merger of RH8 and RBZ; no comparable pre-2022 history,https://www.nhsstaffsurveys.com/static/8dd604e04c547de7022d75c8fc4b6c97/P101646-NSS22-Technical-document-V1.1-2022-FINAL.pdf,8dc9efdbfc34e64891cf8b57369008e3bb2950d8fc98f002d2409a262b523cc5
RM3,2022,8.1,Merger of RM3 and RW6; no comparable pre-2022 history,https://www.nhsstaffsurveys.com/static/8dd604e04c547de7022d75c8fc4b6c97/P101646-NSS22-Technical-document-V1.1-2022-FINAL.pdf,8dc9efdbfc34e64891cf8b57369008e3bb2950d8fc98f002d2409a262b523cc5
RQ3,2025,8.1,CAMHS transfer from RQ3 to RXT,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
RTX,2025,8.1,Substantial workforce-size change,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
RW1,2025,8.1,Acquisition of R1C by RW1,https://www.nhsstaffsurveys.com/static/0e6b1554117a6a032f16a6cba7b4cc2d/NHS-Staff-Survey-2025-Technical-Guide-V2.pdf,48a963a16c96680efe1486d6dc868fca5f41e84005e1b6675c74596cee792179
