org_code,year,field,source_cell,source_sheet,reason
RA9,2021,burnout_score,BTN10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,burnout_n,CBD10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,n_resp,CHX10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,response_rate,CHW10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,wellbeing_action,BVI10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,wellbeing_action_n,CCQ10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,intent_leave,BWW10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,intent_leave_n,CEE10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,thinking_about_leaving_score,BUD10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,thinking_about_leaving_n,CAP10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,work_related_stress,BVJ10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2021,work_related_stress_n,CCR10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,burnout_score,BCN10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,burnout_n,BKJ10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,n_resp,BRJ10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,response_rate,BRI10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,wellbeing_action,BEI10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,wellbeing_action_n,BLW10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,intent_leave,BGB10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,intent_leave_n,BNP10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,thinking_about_leaving_score,BDD10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,thinking_about_leaving_n,BJV10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,work_related_stress,BEJ10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RA9,2022,work_related_stress_n,BLX10,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,burnout_score,BTN13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,burnout_n,CBD13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,n_resp,CHX13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,response_rate,CHW13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,wellbeing_action,BVI13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,wellbeing_action_n,CCQ13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,intent_leave,BWW13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,intent_leave_n,CEE13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,thinking_about_leaving_score,BUD13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,thinking_about_leaving_n,CAP13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,work_related_stress,BVJ13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2021,work_related_stress_n,CCR13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,burnout_score,BCN13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,burnout_n,BKJ13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,n_resp,BRJ13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,response_rate,BRI13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,wellbeing_action,BEI13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,wellbeing_action_n,BLW13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,intent_leave,BGB13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,intent_leave_n,BNP13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,thinking_about_leaving_score,BDD13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,thinking_about_leaving_n,BJV13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,work_related_stress,BEJ13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2022,work_related_stress_n,BLX13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,burnout_score,AKX13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,burnout_n,ATB13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RAL,2023,n_resp,BAJ13,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
