org_code,org_name,year,benchmark_group,benchmark_group_vintage,is_trust,reporting_unit_type,legal_org_code,result_available,historically_comparable,complete_five_year_history,official_2025_no_history,comparability_reason,burnout_score,burnout_n,n_resp,response_rate,wellbeing_action,wellbeing_action_n,intent_leave,intent_leave_n,thinking_about_leaving_score,thinking_about_leaving_n,work_related_stress,work_related_stress_n,n_eligible,n_eligible_source,n_eligible_from_org_rate,n_eligible_derivation,n_eff,burnout_se,burnout_individual_sd,precision_metadata,release_vintage,weighting,source_file,source_sheet,source_row,source_sha256,source_cells
R0A,Manchester University NHS Foundation Trust,2021,Acute&Acute Community Trusts,2025,1,trust,R0A,1,1,1,0,All five official histories available,4.749174405728319,7936.0,7951.0,0.2988760769367218,0.4933758514880372,7787.0,0.3501758806171186,7922.0,5.675418320569851,7912.0,0.4842161062579078,7854.0,,Not directly published in this workbook,26602.99908073067,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,2,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""CBD2"",""burnout_score"":""BTN2"",""intent_leave"":""BWW2"",""intent_leave_n"":""CEE2"",""n_resp"":""CHX2"",""response_rate"":""CHW2"",""thinking_about_leaving_n"":""CAP2"",""thinking_about_leaving_score"":""BUD2"",""wellbeing_action"":""BVI2"",""wellbeing_action_n"":""CCQ2"",""work_related_stress"":""BVJ2"",""work_related_stress_n"":""CCR2""}"
R0A,Manchester University NHS Foundation Trust,2022,Acute&Acute Community Trusts,2025,1,trust,R0A,1,1,1,0,All five official histories available,4.679506522661012,8282.0,8304.0,0.3017222585567909,0.4706422671906563,8208.0,0.3878986925656204,8274.0,5.399420232140465,8273.0,0.4705507420673282,8229.0,,Not directly published in this workbook,27522.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,2,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""BKJ2"",""burnout_score"":""BCN2"",""intent_leave"":""BGB2"",""intent_leave_n"":""BNP2"",""n_resp"":""BRJ2"",""response_rate"":""BRI2"",""thinking_about_leaving_n"":""BJV2"",""thinking_about_leaving_score"":""BDD2"",""wellbeing_action"":""BEI2"",""wellbeing_action_n"":""BLW2"",""work_related_stress"":""BEJ2"",""work_related_stress_n"":""BLX2""}"
R0A,Manchester University NHS Foundation Trust,2023,Acute&Acute Community Trusts,2025,1,trust,R0A,1,1,1,0,All five official histories available,4.985225480910082,11146.0,11171.0,0.3945119367142251,0.5254915629480503,10979.0,0.3188129118539123,11119.0,5.846292185524709,11114.0,0.4085987079988573,11049.0,,Not directly published in this workbook,28316.000000000007,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,2,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ATB2"",""burnout_score"":""AKX2"",""intent_leave"":""AOO2"",""intent_leave_n"":""AWK2"",""n_resp"":""BAJ2"",""response_rate"":""BAI2"",""thinking_about_leaving_n"":""ASN2"",""thinking_about_leaving_score"":""ALN2"",""wellbeing_action"":""AMS2"",""wellbeing_action_n"":""AUO2"",""work_related_stress"":""AMT2"",""work_related_stress_n"":""AUP2""}"
R0A,Manchester University NHS Foundation Trust,2024,Acute&Acute Community Trusts,2025,1,trust,R0A,1,1,1,0,All five official histories available,5.050450998539206,13178.0,13237.0,0.4454052962751102,0.5427757939007584,13008.0,0.2981325829781074,13155.0,5.923932424121899,13152.0,0.3730923474658772,13077.0,,Not directly published in this workbook,29719.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,2,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ABK2"",""burnout_score"":""TF2"",""intent_leave"":""WX2"",""intent_leave_n"":""AEU2"",""n_resp"":""AIT2"",""response_rate"":""AIS2"",""thinking_about_leaving_n"":""AAW2"",""thinking_about_leaving_score"":""TV2"",""wellbeing_action"":""VA2"",""wellbeing_action_n"":""ACX2"",""work_related_stress"":""VB2"",""work_related_stress_n"":""ACY2""}"
R0A,Manchester University NHS Foundation Trust,2025,Acute&Acute Community Trusts,2025,1,trust,R0A,1,1,1,0,All five official histories available,5.033296606876863,10685.0,10738.0,0.3548109965635739,0.5258803241109328,10549.0,0.2932285929706503,10663.0,5.988330884683142,10656.0,0.3904903632968375,10617.0,,Not directly published in this workbook,30264.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,2,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""IQ2"",""burnout_score"":""R2"",""intent_leave"":""DV2"",""intent_leave_n"":""MM2"",""n_resp"":""QT2"",""response_rate"":""QS2"",""thinking_about_leaving_n"":""IC2"",""thinking_about_leaving_score"":""AH2"",""wellbeing_action"":""BM2"",""wellbeing_action_n"":""KD2"",""work_related_stress"":""BO2"",""work_related_stress_n"":""KF2""}"
R0B,South Tyneside and Sunderland NHS Foundation Trust,2021,Acute&Acute Community Trusts,2025,1,trust,R0B,1,1,1,0,All five official histories available,4.796938966064039,3622.0,3792.0,0.4678016304969787,0.5329570495771149,3563.0,0.3325489933767853,3569.0,5.960021339218584,3573.0,0.4724168255353076,3624.0,,Not directly published in this workbook,8105.999964069152,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""CBD3"",""burnout_score"":""BTN3"",""intent_leave"":""BWW3"",""intent_leave_n"":""CEE3"",""n_resp"":""CHX3"",""response_rate"":""CHW3"",""thinking_about_leaving_n"":""CAP3"",""thinking_about_leaving_score"":""BUD3"",""wellbeing_action"":""BVI3"",""wellbeing_action_n"":""CCQ3"",""work_related_stress"":""BVJ3"",""work_related_stress_n"":""CCR3""}"
R0B,South Tyneside and Sunderland NHS Foundation Trust,2022,Acute&Acute Community Trusts,2025,1,trust,R0B,1,1,1,0,All five official histories available,4.904484216960129,3237.0,3247.0,0.397770427538895,0.5535584491868002,3176.0,0.3326079979984375,3220.0,5.948018393967598,3219.0,0.421550792140166,3227.0,,Not directly published in this workbook,8163.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""BKJ3"",""burnout_score"":""BCN3"",""intent_leave"":""BGB3"",""intent_leave_n"":""BNP3"",""n_resp"":""BRJ3"",""response_rate"":""BRI3"",""thinking_about_leaving_n"":""BJV3"",""thinking_about_leaving_score"":""BDD3"",""wellbeing_action"":""BEI3"",""wellbeing_action_n"":""BLW3"",""work_related_stress"":""BEJ3"",""work_related_stress_n"":""BLX3""}"
R0B,South Tyneside and Sunderland NHS Foundation Trust,2023,Acute&Acute Community Trusts,2025,1,trust,R0B,1,1,1,0,All five official histories available,5.151763096178152,3917.0,3924.0,0.4731130938027489,0.5616565675888437,3911.0,0.2895329552244121,3903.0,6.226531188863889,3907.0,0.3810436180646597,3910.0,,Not directly published in this workbook,8294.000000000002,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ATB3"",""burnout_score"":""AKX3"",""intent_leave"":""AOO3"",""intent_leave_n"":""AWK3"",""n_resp"":""BAJ3"",""response_rate"":""BAI3"",""thinking_about_leaving_n"":""ASN3"",""thinking_about_leaving_score"":""ALN3"",""wellbeing_action"":""AMS3"",""wellbeing_action_n"":""AUO3"",""work_related_stress"":""AMT3"",""work_related_stress_n"":""AUP3""}"
R0B,South Tyneside and Sunderland NHS Foundation Trust,2024,Acute&Acute Community Trusts,2025,1,trust,R0B,1,1,1,0,All five official histories available,5.209295029360974,4727.0,4734.0,0.5525210084033614,0.5868373386219371,4716.0,0.2830149670773203,4716.0,6.277429690007252,4711.0,0.3933194437012234,4712.0,,Not directly published in this workbook,8568.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""ABK3"",""burnout_score"":""TF3"",""intent_leave"":""WX3"",""intent_leave_n"":""AEU3"",""n_resp"":""AIT3"",""response_rate"":""AIS3"",""thinking_about_leaving_n"":""AAW3"",""thinking_about_leaving_score"":""TV3"",""wellbeing_action"":""VA3"",""wellbeing_action_n"":""ACX3"",""work_related_stress"":""VB3"",""work_related_stress_n"":""ACY3""}"
R0B,South Tyneside and Sunderland NHS Foundation Trust,2025,Acute&Acute Community Trusts,2025,1,trust,R0B,1,1,1,0,All five official histories available,5.102526485582064,4681.0,4692.0,0.5441892832289492,0.5549098700983025,4676.0,0.3009404983690787,4672.0,6.210426877582561,4667.0,0.3852900496390472,4661.0,,Not directly published in this workbook,8622.0,Published total responses / published organisation-specific rate; approximate in 2021 due to rate precision,,,,Individual weights and composite SD/SE unavailable; burnout_n is nominal,2025,Occupational group; histories reweighted to 2025 group proportions,data/raw/benchmark_2021_2025_v2.xlsx,Acute&Acute Community Trusts,3,ea21b97040a95cb3790534e7bccb447c5dcb874edf6621d4fbf790759112e1b1,"{""burnout_n"":""IQ3"",""burnout_score"":""R3"",""intent_leave"":""DV3"",""intent_leave_n"":""MM3"",""n_resp"":""QT3"",""response_rate"":""QS3"",""thinking_about_leaving_n"":""IC3"",""thinking_about_leaving_score"":""AH3"",""wellbeing_action"":""BM3"",""wellbeing_action_n"":""KD3"",""work_related_stress"":""BO3"",""work_related_stress_n"":""KF3""}"
