candidate_order,method,phi,ratio,development_mse
0,latest,,,0.011207303932568252
1,equal_history,,,0.031506160068321826
2,group_centred_equal,,,0.012925949121494895
3,linear_trend,,,0.022246455417965983
4,geometric_history,0.0,,0.011207303932568252
5,geometric_history,0.3,,0.014639237137376563
6,geometric_history,0.6,,0.021844131966196674
7,geometric_history,0.85,,0.028092921878055087
8,geometric_history,0.97,,0.030849171134554515
9,geometric_history,1.0,,0.031506160068321874
10,group_mean_reversion,0.0,,0.027078783255620065
11,group_mean_reversion,0.3,,0.01707436994780399
12,group_mean_reversion,0.6,,0.011563930506474083
13,group_mean_reversion,0.85,,0.010404794342264994
14,group_mean_reversion,0.97,,0.010956922537177874
15,group_mean_reversion,1.0,,0.011207303932568252
16,working_covariance,0.0,0.0,0.027078783255620065
17,working_covariance,0.0,10.0,0.027078783255620065
18,working_covariance,0.0,30.0,0.027078783255620065
19,working_covariance,0.0,100.0,0.027078783255620065
20,working_covariance,0.0,300.0,0.027078783255620065
21,working_covariance,0.0,1000.0,0.027078783255620065
22,working_covariance,0.0,3000.0,0.027078783255620065
23,working_covariance,0.3,0.0,0.017074369947803997
24,working_covariance,0.3,10.0,0.0170829988400374
25,working_covariance,0.3,30.0,0.017109654364405934
26,working_covariance,0.3,100.0,0.01725143051700567
27,working_covariance,0.3,300.0,0.017733314985711932
28,working_covariance,0.3,1000.0,0.019097670489319783
29,working_covariance,0.3,3000.0,0.021269411949007902
30,working_covariance,0.6,0.0,0.011563930506474083
31,working_covariance,0.6,10.0,0.011509062927457544
32,working_covariance,0.6,30.0,0.011440446444146556
33,working_covariance,0.6,100.0,0.011388877470334883
34,working_covariance,0.6,300.0,0.011672221700579006
35,working_covariance,0.6,1000.0,0.013047218064250984
36,working_covariance,0.6,3000.0,0.01583544654565201
37,working_covariance,0.85,0.0,0.010404794342264989
38,working_covariance,0.85,10.0,0.01021881806162371
39,working_covariance,0.85,30.0,0.010003603589183629
40,working_covariance,0.85,100.0,0.009677763186757081
41,working_covariance,0.85,300.0,0.009541329965135303
42,working_covariance,0.85,1000.0,0.010294054981205898
43,working_covariance,0.85,3000.0,0.012522097476519965
44,working_covariance,0.97,0.0,0.010956922537177881
45,working_covariance,0.97,10.0,0.010527933674278019
46,working_covariance,0.97,30.0,0.010301052052355748
47,working_covariance,0.97,100.0,0.010083686412206768
48,working_covariance,0.97,300.0,0.010035025470226135
49,working_covariance,0.97,1000.0,0.010430455733219202
50,working_covariance,0.97,3000.0,0.011829817823783726
51,working_covariance,1.0,0.0,0.012925949121494895
52,working_covariance,1.0,10.0,0.012539242707234652
53,working_covariance,1.0,30.0,0.01238382575815833
54,working_covariance,1.0,100.0,0.01196744971502855
55,working_covariance,1.0,300.0,0.011357561674180366
56,working_covariance,1.0,1000.0,0.010980228367537757
57,working_covariance,1.0,3000.0,0.011842604991139411
