org_code,org_name,benchmark_group,raw_selected,selected_somewhere_0_3000,selected_everywhere_0_3000,boundary_ties
R0A,Manchester University NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
R0B,South Tyneside and Sunderland NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
R0D,University Hospitals Dorset NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
R1D,Shropshire Community Health NHS Trust,Community Trusts,0,0,0,stable organisation-code order
R1F1,Isle of Wight NHS Trust (acute sector),Acute&Acute Community Trusts,1,1,1,stable organisation-code order
R1F2,Isle of Wight NHS Trust (ambulance sector),Ambulance Trusts,0,0,0,stable organisation-code order
R1H,Barts Health NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
R1K,London North West University Healthcare NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
R1L,Essex Partnership University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RA2,Royal Surrey County Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RAJ,Mid and South Essex NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RAN,Royal National Orthopaedic Hospital NHS Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RAS,The Hillingdon Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RAT,North East London NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RBD,Dorset County Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RBK,Walsall Healthcare NHS Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RBL,Wirral University Teaching Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RBS,Alder Hey Children's NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RBT,Mid Cheshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RBV,The Christie NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RC9,Bedfordshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RCD,Harrogate and District NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RCF,Airedale NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RCU,Sheffield Children's NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RCX,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RD1,Royal United Hospitals Bath NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RD8,Milton Keynes University Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RDE,East Suffolk and North Essex NHS Foundation Trust,Acute&Acute Community Trusts,0,1,0,stable organisation-code order
RDR,Sussex Community NHS Foundation Trust,Community Trusts,0,0,0,stable organisation-code order
RDU,Frimley Health NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
