org_code,org_name,benchmark_group,ratio,centred_score,burnout_n,working_posterior_score,selected
R0A,Manchester University NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.0906859565449798,10685.0,0.0906859565449798,0
R0B,South Tyneside and Sunderland NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.15991583525017994,4681.0,0.15991583525017994,0
R0D,University Hospitals Dorset NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.054425423264566675,5519.0,0.054425423264566675,0
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,"MH&LD, MH, LD&Community Trusts",0.0,-0.04316399419076866,2399.0,-0.04316399419076866,0
R1D,Shropshire Community Health NHS Trust,Community Trusts,0.0,-0.05080991493862097,995.0,-0.05080991493862097,0
R1F1,Isle of Wight NHS Trust (acute sector),Acute&Acute Community Trusts,0.0,-0.2362436637650669,1420.0,-0.2362436637650669,1
R1F2,Isle of Wight NHS Trust (ambulance sector),Ambulance Trusts,0.0,0.06192589567564166,170.0,0.06192589567564166,0
R1H,Barts Health NHS Trust,Acute&Acute Community Trusts,0.0,-0.030342645655079714,9566.0,-0.030342645655079714,0
R1K,London North West University Healthcare NHS Trust,Acute&Acute Community Trusts,0.0,0.09177192718447902,4285.0,0.09177192718447902,0
R1L,Essex Partnership University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0.0,0.0361993077042575,3632.0,0.0361993077042575,0
RA2,Royal Surrey County Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.21510258901685564,2383.0,0.21510258901685564,0
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.16612796468165225,8285.0,0.16612796468165225,0
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.1475740926363862,3212.0,0.1475740926363862,0
RAJ,Mid and South Essex NHS Foundation Trust,Acute&Acute Community Trusts,0.0,-0.47972178411698785,6465.0,-0.47972178411698785,1
RAN,Royal National Orthopaedic Hospital NHS Trust,Acute Specialist Trusts,0.0,0.15760595573699998,773.0,0.15760595573699998,0
RAS,The Hillingdon Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.05963488021610974,1970.0,0.05963488021610974,0
RAT,North East London NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0.0,-0.06866386119844492,3955.0,-0.06866386119844492,0
RBD,Dorset County Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0.0,0.06683423975127312,1616.0,0.06683423975127312,0
RBK,Walsall Healthcare NHS Trust,Acute&Acute Community Trusts,0.0,-0.2900634770751713,2314.0,-0.2900634770751713,1
RBL,Wirral University Teaching Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0.0,-0.2238559838903038,2794.0,-0.2238559838903038,1
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Acute Specialist Trusts,0.0,0.4603550858652472,1134.0,0.4603550858652472,0
