candidate_order,method,phi,ratio,development_mse
0,latest,,,0.011187430022945739
1,equal_history,,,0.0290894504916185
2,group_centred_equal,,,0.01295300045144547
3,linear_trend,,,0.023433701782028665
4,geometric_history,0.0,,0.011187430022945739
5,geometric_history,0.3,,0.013710497312297022
6,geometric_history,0.6,,0.020142817157970293
7,geometric_history,0.85,,0.025906652067169012
8,geometric_history,0.97,,0.02847536281984179
9,geometric_history,1.0,,0.029089450491618558
10,group_mean_reversion,0.0,,0.02707386963583562
11,group_mean_reversion,0.3,,0.017050898375056894
12,group_mean_reversion,0.6,,0.011533960865916829
13,group_mean_reversion,0.85,,0.010378622057468513
14,group_mean_reversion,0.97,,0.010935547754817514
15,group_mean_reversion,1.0,,0.011187430022945739
16,working_covariance,0.0,0.0,0.02707386963583562
17,working_covariance,0.0,10.0,0.02707386963583562
18,working_covariance,0.0,30.0,0.02707386963583562
19,working_covariance,0.0,100.0,0.02707386963583562
20,working_covariance,0.0,300.0,0.02707386963583562
21,working_covariance,0.0,1000.0,0.02707386963583562
22,working_covariance,0.0,3000.0,0.02707386963583562
23,working_covariance,0.3,0.0,0.017050898375056897
24,working_covariance,0.3,10.0,0.01705832805265707
25,working_covariance,0.3,30.0,0.017082854552236577
26,working_covariance,0.3,100.0,0.017219409243890944
27,working_covariance,0.3,300.0,0.01769521017240031
28,working_covariance,0.3,1000.0,0.01905744240175658
29,working_covariance,0.3,3000.0,0.021234424799582943
30,working_covariance,0.6,0.0,0.011533960865916832
31,working_covariance,0.6,10.0,0.011478819223315982
32,working_covariance,0.6,30.0,0.01140839661362867
33,working_covariance,0.6,100.0,0.011349117491342599
34,working_covariance,0.6,300.0,0.011619739356123092
35,working_covariance,0.6,1000.0,0.01298466377418059
36,working_covariance,0.6,3000.0,0.01577401077711187
37,working_covariance,0.85,0.0,0.01037862205746851
38,working_covariance,0.85,10.0,0.010199357248030734
39,working_covariance,0.85,30.0,0.009985531698699325
40,working_covariance,0.85,100.0,0.009651680663452837
41,working_covariance,0.85,300.0,0.009497206467609787
42,working_covariance,0.85,1000.0,0.010228619980790677
43,working_covariance,0.85,3000.0,0.012446276290065384
44,working_covariance,0.97,0.0,0.010935547754817527
45,working_covariance,0.97,10.0,0.010529772615064773
46,working_covariance,0.97,30.0,0.010305487018374478
47,working_covariance,0.97,100.0,0.010081414244393452
48,working_covariance,0.97,300.0,0.010012292317325951
49,working_covariance,0.97,1000.0,0.01037626920579846
50,working_covariance,0.97,3000.0,0.011753757565923341
51,working_covariance,1.0,0.0,0.01295300045144547
52,working_covariance,1.0,10.0,0.01259640863944891
53,working_covariance,1.0,30.0,0.012434314486574973
54,working_covariance,1.0,100.0,0.011998885611272903
55,working_covariance,1.0,300.0,0.011355658885452317
56,working_covariance,1.0,1000.0,0.010934788366482104
57,working_covariance,1.0,3000.0,0.011768347566533083
