org_code,year,release_vintage,historical_value,value_in_2025_release,difference
R0A,2021,2023,4.758855560599172,4.749174405728319,0.009681154870852637
R0A,2022,2023,4.690112550376105,4.679506522661012,0.010606027715092559
R0A,2023,2023,4.994150924995594,4.985225480910082,0.008925444085511991
R0B,2021,2023,4.806393676876966,4.796938966064039,0.009454710812926592
R0B,2022,2023,4.914752175359185,4.904484216960129,0.010267958399055921
R0B,2023,2023,5.162408948554219,5.151763096178152,0.010645852376066856
R0D,2021,2023,4.744275633362739,4.734074079743278,0.010201553619460846
R0D,2022,2023,4.71668707050082,4.705690445528662,0.010996624972158031
R0D,2023,2023,5.026059328081622,5.018241535937349,0.007817792144273028
R1A,2021,2023,5.084444361327082,5.073321471551341,0.011122889775741385
R1A,2022,2023,4.978735939265279,4.971107170080928,0.007628769184351292
R1A,2023,2023,5.189194657017849,5.18200156003518,0.007193096982669012
R1D,2021,2023,4.868077254854649,4.850312384561,0.01776487029364926
R1D,2022,2023,4.939257122807216,4.920668606869033,0.018588515938183114
R1D,2023,2023,5.050482600326269,5.03679190398577,0.013690696340499464
R1F1,2021,2023,4.863197297382143,4.855042540268514,0.008154757113629785
R1F1,2022,2023,4.822883348432256,4.811122505705582,0.011760842726673992
R1F1,2023,2023,4.99658352266438,4.990372194916533,0.006211327747847051
R1F2,2021,2023,4.628020262436105,4.596641056238289,0.03137920619781642
R1F2,2022,2023,4.76537791967258,4.721256576489108,0.044121343183471495
R1F2,2023,2023,5.146073395960946,5.122841451652533,0.0232319443084128
R1H,2021,2023,4.720407180494567,4.712330816182948,0.008076364311619066
R1H,2022,2023,4.599216332582264,4.590603264754893,0.008613067827370813
R1H,2023,2023,4.856383210232393,4.848987628052231,0.007395582180162563
R1K,2021,2023,4.920147336119777,4.911367822836596,0.008779513283181828
R1K,2022,2023,4.873281877171583,4.862126346082243,0.011155531089340087
R1K,2023,2023,5.144317306439695,5.139186874831388,0.005130431608306729
R1L,2021,2023,5.264993371198465,5.250330276864894,0.014663094333571713
R1L,2022,2023,5.167401292163467,5.155059229049764,0.012342063113703006
R1L,2023,2023,5.355946595781727,5.344889137519906,0.011057458261821473
RA2,2021,2023,4.947809060324776,4.938833390910246,0.008975669414529541
RA2,2022,2023,4.792535186931184,4.783144264161864,0.009390922769320298
RA2,2023,2023,5.068523226233966,5.058197301537764,0.010325924696201305
RA7,2021,2023,4.782260526968157,4.772099811190353,0.010160715777804086
RA7,2022,2023,4.845556660936875,4.834182247598473,0.011374413338402611
RA7,2023,2023,5.168544662421485,5.157730212168446,0.010814450253038288
RAE,2021,2023,4.68431110759414,4.673563430955869,0.010747676638271031
RAE,2022,2023,4.874570740171206,4.863772104966956,0.010798635204250395
RAE,2023,2023,5.005542252202052,4.997521476909426,0.00802077529262668
RAJ,2021,2023,4.5362667788267,4.527004567013432,0.009262211813268806
RAJ,2022,2023,4.455198646972318,4.442473527260018,0.012725119712299282
RAJ,2023,2023,4.774956969127147,4.764900010016129,0.010056959111017783
RAN,2021,2023,5.242522071780165,5.244732695247051,-0.0022106234668859415
RAN,2022,2023,5.26493292672471,5.269679609617995,-0.004746682893284948
RAN,2023,2023,5.320568805329684,5.321516017650881,-0.0009472123211970995
RAS,2021,2023,4.846196113295925,4.841495617818583,0.004700495477341526
RAS,2022,2023,4.829334729858871,4.821644885418007,0.007689844440863958
RAS,2023,2023,5.026844959926941,5.02067013438047,0.0061748255464708635
RAT,2021,2023,5.261354941136913,5.251771171207065,0.009583769929847996
RAT,2022,2023,5.244733007645533,5.234142023609635,0.010590984035897755
RAT,2023,2023,5.31161103965459,5.299924127535141,0.0116869121194485
RBD,2021,2023,4.909868980279568,4.9013773481853,0.008491632094267842
RBD,2022,2023,4.776812857177621,4.767645881670496,0.009166975507125308
RBD,2023,2023,5.020085247839139,5.012415512591931,0.007669735247207932
RBK,2021,2023,4.658064921591868,4.650620117818959,0.007444803772909125
RBK,2022,2023,4.826017385361581,4.820320241412042,0.005697143949539019
RBK,2023,2023,4.85676374249713,4.850732963657531,0.006030778839599016
RBL,2021,2023,4.897216646580247,4.88588328097764,0.011333365602607337
RBL,2022,2023,4.819254669008402,4.80953640092116,0.009718268087242521
RBL,2023,2023,4.876234073348373,4.867069584824431,0.009164488523941472
RBQ,2021,2023,5.351944800593652,5.353641469033353,-0.0016966684397008436
RBQ,2022,2023,5.445935997770534,5.449757052288631,-0.003821054518097
RBQ,2023,2023,5.719471883481666,5.723465057218697,-0.003993173737031341
RBS,2021,2023,5.01564068919683,5.007952674495101,0.00768801470172864
RBS,2022,2023,4.944247515855196,4.938359994321461,0.005887521533734841
RBS,2023,2023,5.111175399166981,5.107386826731999,0.003788572434981319
RBT,2021,2023,4.917620812794295,4.907497993798168,0.010122818996126881
RBT,2022,2023,4.891855385232141,4.882713182777685,0.009142202454455628
RBT,2023,2023,5.238004686196851,5.229420654719102,0.008584031477748333
RBV,2021,2023,5.044647255502737,5.046410641614504,-0.0017633861117669625
RBV,2022,2023,5.115696850205532,5.12229982205826,-0.00660297185272718
