experiment,n,candidates,gate,trials,events,rate,lower_95,upper_95
adaptive_selection,2048,1,reuse_uncorrected,20000,733,0.03665,0.03408841931407037,0.03934737805715797
adaptive_selection,2048,1,bonferroni_candidates,20000,733,0.03665,0.03408841931407037,0.03934737805715797
adaptive_selection,2048,1,fixed_sequence,20000,733,0.03665,0.03408841931407037,0.03934737805715797
adaptive_selection,2048,1,independent_development,20000,733,0.03665,0.03408841931407037,0.03934737805715797
adaptive_selection,2048,5,reuse_uncorrected,20000,3306,0.1653,0.16017596878349027,0.17052151936400123
adaptive_selection,2048,5,bonferroni_candidates,20000,684,0.0342,0.03172412858447781,0.03681244436873284
adaptive_selection,2048,5,fixed_sequence,20000,704,0.0352,0.03268874605054834,0.037847509534727125
adaptive_selection,2048,5,independent_development,20000,674,0.0337,0.031242034863913932,0.03629469721890938
adaptive_selection,2048,20,reuse_uncorrected,20000,10443,0.52215,0.515199485336974,0.529094073569533
adaptive_selection,2048,20,bonferroni_candidates,20000,613,0.03065,0.028304579880001752,0.03313313010348818
adaptive_selection,2048,20,fixed_sequence,20000,676,0.0338,0.03133844191302768,0.03639825831929435
adaptive_selection,2048,20,independent_development,20000,672,0.0336,0.031145633712520965,0.036191130233273805
adaptive_selection,2048,100,reuse_uncorrected,20000,19506,0.9753,0.9730535964127885,0.9774067393543007
adaptive_selection,2048,100,bonferroni_candidates,20000,601,0.03005,0.02772743400437407,0.032510469975684866
adaptive_selection,2048,100,fixed_sequence,20000,741,0.03705,0.03447473209956412,0.039760939251828754
adaptive_selection,2048,100,independent_development,20000,751,0.03755,0.03495773864787601,0.04027777540014469
