experiment,n,slices,scenario,gate,trials,events,rate,lower_95,upper_95
calibration,128,1,one_harmful,point,20000,9115,0.45575,0.44882952455012237,0.4626833432777185
calibration,128,1,one_harmful,no_detected_harm,20000,19068,0.9534,0.9503871753284077,0.956280122994361
calibration,128,1,one_harmful,exact_iut,20000,603,0.03015,0.027823607765127014,0.03261426384154086
calibration,128,1,one_harmful,simultaneous_exact,20000,603,0.03015,0.027823607765127014,0.03261426384154086
calibration,128,1,one_harmful,hoeffding_iut,20000,90,0.0045,0.0036200379167414406,0.005528409763180494
calibration,128,1,all_safe,point,20000,19129,0.95645,0.9535293804081623,0.9592369765543298
calibration,128,1,all_safe,no_detected_harm,20000,19996,0.9998,0.9994880004662163,0.9999455041288672
calibration,128,1,all_safe,exact_iut,20000,9634,0.4817,0.4747532068319221,0.4886521146956735
calibration,128,1,all_safe,simultaneous_exact,20000,9634,0.4817,0.4747532068319221,0.4886521146956735
calibration,128,1,all_safe,hoeffding_iut,20000,4504,0.2252,0.21942615107135718,0.23105383351014533
calibration,128,8,one_harmful,point,20000,9117,0.45585,0.44892938702969715,0.4627834517172168
calibration,128,8,one_harmful,no_detected_harm,20000,19843,0.99215,0.9908276345154746,0.9933261154096938
calibration,128,8,one_harmful,exact_iut,20000,614,0.0307,0.028352686464019908,0.03318500737910709
calibration,128,8,one_harmful,simultaneous_exact,20000,62,0.0031,0.0023775531169940413,0.003972322520079637
calibration,128,8,one_harmful,hoeffding_iut,20000,106,0.0053,0.0043411850974990835,0.006406635768871704
calibration,128,8,all_safe,point,20000,14016,0.7008,0.6943999809299661,0.7071416023781822
calibration,128,8,all_safe,no_detected_harm,20000,19996,0.9998,0.9994880004662163,0.9999455041288672
calibration,128,8,all_safe,exact_iut,20000,77,0.00385,0.003039518305129988,0.004809523905396732
calibration,128,8,all_safe,simultaneous_exact,20000,0,0.0,0.0,0.0001844269639618992
calibration,128,8,all_safe,hoeffding_iut,20000,0,0.0,0.0,0.0001844269639618992
calibration,128,32,one_harmful,point,20000,9356,0.4678,0.4608649683844518,0.4747443952404163
calibration,128,32,one_harmful,no_detected_harm,20000,19979,0.99895,0.9983954089177361,0.9993499196513351
calibration,128,32,one_harmful,exact_iut,20000,609,0.03045,0.028112170503615995,0.032925604080918894
calibration,128,32,one_harmful,simultaneous_exact,20000,21,0.00105,0.0006500803486648398,0.0016045910822638997
calibration,128,32,one_harmful,hoeffding_iut,20000,106,0.0053,0.0043411850974990835,0.006406635768871704
calibration,128,32,all_safe,point,20000,4833,0.24165,0.2357300633787503,0.2476451228576113
calibration,128,32,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,128,32,all_safe,exact_iut,20000,0,0.0,0.0,0.0001844269639618992
calibration,128,32,all_safe,simultaneous_exact,20000,0,0.0,0.0,0.0001844269639618992
calibration,128,32,all_safe,hoeffding_iut,20000,0,0.0,0.0,0.0001844269639618992
calibration,512,1,one_harmful,point,20000,8231,0.41155,0.40471803799793693,0.4184076845930298
calibration,512,1,one_harmful,no_detected_harm,20000,18548,0.9274,0.9237163629521041,0.9309588064169658
calibration,512,1,one_harmful,exact_iut,20000,577,0.02885,0.026573902035749494,0.03126439175754037
calibration,512,1,one_harmful,simultaneous_exact,20000,577,0.02885,0.026573902035749494,0.03126439175754037
calibration,512,1,one_harmful,hoeffding_iut,20000,73,0.00365,0.0028620757242865252,0.004587170345127215
calibration,512,1,all_safe,point,20000,19996,0.9998,0.9994880004662163,0.9999455041288672
calibration,512,1,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,512,1,all_safe,exact_iut,20000,19206,0.9603,0.9575012342857249,0.962963925446603
calibration,512,1,all_safe,simultaneous_exact,20000,19206,0.9603,0.9575012342857249,0.962963925446603
calibration,512,1,all_safe,hoeffding_iut,20000,16478,0.8239,0.8185490553923358,0.8291566170938175
calibration,512,8,one_harmful,point,20000,8120,0.406,0.39918311677836765,0.4128442201125403
calibration,512,8,one_harmful,no_detected_harm,20000,19771,0.98855,0.9869773465177918,0.9899781121409341
calibration,512,8,one_harmful,exact_iut,20000,526,0.0263,0.024126267046831837,0.028612864239358226
calibration,512,8,one_harmful,simultaneous_exact,20000,52,0.0026,0.001942395375973877,0.003408173489370242
calibration,512,8,one_harmful,hoeffding_iut,20000,66,0.0033,0.002553111171980259,0.004196522242483217
calibration,512,8,all_safe,point,20000,19928,0.9964,0.9954685132741454,0.9971821878412153
calibration,512,8,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,512,8,all_safe,exact_iut,20000,13871,0.69355,0.6871079228152066,0.6999357716291726
calibration,512,8,all_safe,simultaneous_exact,20000,3142,0.1571,0.15208187331286985,0.16221801645867176
calibration,512,8,all_safe,hoeffding_iut,20000,3950,0.1975,0.1920018103530243,0.203086261303229
calibration,512,32,one_harmful,point,20000,8174,0.4087,0.4018756689616891,0.4155508825877847
calibration,512,32,one_harmful,no_detected_harm,20000,19946,0.9973,0.9964785357506676,0.9979710458490301
calibration,512,32,one_harmful,exact_iut,20000,523,0.02615,0.023982452618443218,0.028456728366306694
calibration,512,32,one_harmful,simultaneous_exact,20000,10,0.0005,0.00023979464329097462,0.0009193249298326013
calibration,512,32,one_harmful,hoeffding_iut,20000,64,0.0032,0.0024652356247496835,0.004084516784818635
calibration,512,32,all_safe,point,20000,19762,0.9881,0.9864991121405722,0.9895565384048927
calibration,512,32,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,512,32,all_safe,exact_iut,20000,4787,0.23935,0.2334497504543786,0.24532610651309925
calibration,512,32,all_safe,simultaneous_exact,20000,0,0.0,0.0,0.0001844269639618992
calibration,512,32,all_safe,hoeffding_iut,20000,30,0.0015,0.0010122654354229837,0.0021406565042675686
calibration,2048,1,one_harmful,point,20000,6526,0.3263,0.3198027031000393,0.3328478235535634
calibration,2048,1,one_harmful,no_detected_harm,20000,17698,0.8849,0.8803959397855182,0.8892918333209079
calibration,2048,1,one_harmful,exact_iut,20000,334,0.0167,0.014969558782665359,0.01857290494368129
calibration,2048,1,one_harmful,simultaneous_exact,20000,334,0.0167,0.014969558782665359,0.01857290494368129
calibration,2048,1,one_harmful,hoeffding_iut,20000,40,0.002,0.0014292019121327326,0.0027224470060716096
calibration,2048,1,all_safe,point,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,exact_iut,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,simultaneous_exact,20000,20000,1.0,0.9998155730360381,1.0
calibration,2048,1,all_safe,hoeffding_iut,20000,19999,0.99995,0.9997214496678255,0.9999987341104021
calibration,2048,8,one_harmful,point,20000,6513,0.32565,0.3191561417450184,0.3321945741156803
