experiment,n,slices,shared_fraction,scenario,gate,trials,events,rate,lower_95,upper_95
correlated_calibration,512,32,0.0,one_harmful,point,20000,8078,0.4039,0.397089056923204,0.4107388907973833
correlated_calibration,512,32,0.0,one_harmful,no_detected_harm,20000,19963,0.99815,0.9974509113476229,0.9986971050937681
correlated_calibration,512,32,0.0,one_harmful,exact_iut,20000,581,0.02905,0.026766085154387758,0.03147214349386486
correlated_calibration,512,32,0.0,one_harmful,simultaneous_exact,20000,8,0.0004,0.0001727069211699186,0.0007880065010413351
correlated_calibration,512,32,0.0,one_harmful,hoeffding_iut,20000,63,0.00315,0.0024213696703700217,0.004028443803279685
correlated_calibration,512,32,0.0,all_safe,point,20000,19770,0.9885,0.9869241813466515,0.989931298807587
correlated_calibration,512,32,0.0,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
correlated_calibration,512,32,0.0,all_safe,exact_iut,20000,4837,0.24185,0.23592836253292152,0.24784676538133646
correlated_calibration,512,32,0.0,all_safe,simultaneous_exact,20000,0,0.0,0.0,0.0001844269639618992
correlated_calibration,512,32,0.0,all_safe,hoeffding_iut,20000,34,0.0017,0.0011775778411528461,0.002374777014523622
correlated_calibration,512,32,0.5,one_harmful,point,20000,8260,0.413,0.4061642462475609,0.4198610545975609
correlated_calibration,512,32,0.5,one_harmful,no_detected_harm,20000,19949,0.99745,0.9966485671644771,0.9981007861349697
correlated_calibration,512,32,0.5,one_harmful,exact_iut,20000,559,0.02795,0.02570944823055819,0.03032913964118883
correlated_calibration,512,32,0.5,one_harmful,simultaneous_exact,20000,7,0.00035,0.00014072936111137783,0.0007209999554352942
correlated_calibration,512,32,0.5,one_harmful,hoeffding_iut,20000,47,0.00235,0.0017271869679668646,0.0031237905074699215
correlated_calibration,512,32,0.5,all_safe,point,20000,19831,0.99155,0.9901823432025703,0.9927717199959943
correlated_calibration,512,32,0.5,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
correlated_calibration,512,32,0.5,all_safe,exact_iut,20000,12544,0.6272,0.6204553651013804,0.6339076400654395
correlated_calibration,512,32,0.5,all_safe,simultaneous_exact,20000,1704,0.0852,0.08136634354056978,0.0891547294474325
correlated_calibration,512,32,0.5,all_safe,hoeffding_iut,20000,4928,0.2464,0.2404401422449376,0.25243365894006586
correlated_calibration,512,32,1.0,one_harmful,point,20000,8133,0.40665,0.39983130432130254,0.41349584350480867
correlated_calibration,512,32,1.0,one_harmful,no_detected_harm,20000,19957,0.99785,0.997105044669278,0.9984436107771053
correlated_calibration,512,32,1.0,one_harmful,exact_iut,20000,557,0.02785,0.02561343597878295,0.03022518466517827
correlated_calibration,512,32,1.0,one_harmful,simultaneous_exact,20000,10,0.0005,0.00023979464329097462,0.0009193249298326013
correlated_calibration,512,32,1.0,one_harmful,hoeffding_iut,20000,74,0.0037,0.00290637890746637,0.004642815111573597
correlated_calibration,512,32,1.0,all_safe,point,20000,19996,0.9998,0.9994880004662163,0.9999455041288672
correlated_calibration,512,32,1.0,all_safe,no_detected_harm,20000,20000,1.0,0.9998155730360381,1.0
correlated_calibration,512,32,1.0,all_safe,exact_iut,20000,19132,0.9566,0.9536840097884361,0.9593823007272153
correlated_calibration,512,32,1.0,all_safe,simultaneous_exact,20000,12985,0.64925,0.6425900777008513,0.6558665116150316
correlated_calibration,512,32,1.0,all_safe,hoeffding_iut,20000,16362,0.8181,0.8126826020550555,0.8234247667780901
