seed,phase,epoch,loss
1701,incumbent,1,1.7259101175758793
1701,incumbent,2,0.753998189312958
1701,incumbent,3,0.3787297278109051
1701,incumbent,4,0.2529107748564781
1701,incumbent,5,0.19874377420880118
1701,incumbent,6,0.14991397928918385
1701,incumbent,7,0.11815498139414303
1701,incumbent,8,0.09816523107095687
1701,incumbent,9,0.09023986106270063
1701,incumbent,10,0.09650896736772312
1701,incumbent,11,0.08256308368502821
1701,incumbent,12,0.06796722856520003
1701,continuation,1,0.06260232562478348
1701,continuation,2,0.06435440294230066
1701,continuation,3,0.065836357609389
1701,continuation,4,0.060659365205079654
1701,continuation,5,0.05098903153589989
1701,continuation,6,0.04680240740424732
1701,continuation,7,0.044507911849003524
1701,continuation,8,0.043985086508862146
1701,continuation,9,0.04318746245532117
1701,continuation,10,0.04332184528614847
1701,continuation,11,0.0409653819742943
1701,continuation,12,0.03777525292609958
1701,continuation,13,0.03351124848922112
1701,continuation,14,0.03295559584356088
1701,continuation,15,0.027084133357089278
1701,continuation,16,0.026383901599948086
1701,continuation,17,0.026627992699892227
1701,continuation,18,0.023527897195707526
1701,continuation,19,0.023391074687994215
1701,continuation,20,0.02083101066828932
1701,continuation,21,0.019904006498062374
1701,continuation,22,0.018432979800661647
1701,continuation,23,0.01767169496017666
1701,continuation,24,0.017085482234450337
1702,incumbent,1,1.7395917075914886
1702,incumbent,2,0.8491500092106915
1702,incumbent,3,0.43949261294186465
1702,incumbent,4,0.29242707796369954
1702,incumbent,5,0.20609680972452152
1702,incumbent,6,0.15204599255271853
1702,incumbent,7,0.13478474712533323
1702,incumbent,8,0.1110745354228157
1702,incumbent,9,0.09232974562250916
1702,incumbent,10,0.08600342075991955
1702,incumbent,11,0.0709762824444404
1702,incumbent,12,0.06677062933247287
1702,continuation,1,0.06242821475727348
1702,continuation,2,0.05698098470963967
1702,continuation,3,0.05363374113088451
1702,continuation,4,0.049341869744758654
1702,continuation,5,0.0461633042884153
1702,continuation,6,0.04414937575685205
1702,continuation,7,0.05073073641990708
1702,continuation,8,0.05260643687488554
1702,continuation,9,0.04077542684254723
1702,continuation,10,0.03458662244107694
1702,continuation,11,0.030324357058933864
1702,continuation,12,0.029550677665797314
1702,continuation,13,0.027513925243796374
1702,continuation,14,0.02416629659650487
1702,continuation,15,0.022936628432100717
1702,continuation,16,0.020973072020298893
1702,continuation,17,0.020056437074477587
1702,continuation,18,0.0186159055565471
1702,continuation,19,0.017536222099101703
1702,continuation,20,0.01714429380678341
1702,continuation,21,0.016084359097842546
1702,continuation,22,0.015049635331186598
1702,continuation,23,0.014623834782222121
1702,continuation,24,0.014647738574640835
1703,incumbent,1,1.8611139504355951
1703,incumbent,2,1.061386450771048
1703,incumbent,3,0.501854162776495
1703,incumbent,4,0.27985062728804605
1703,incumbent,5,0.20521828518972857
1703,incumbent,6,0.1574727885613733
1703,incumbent,7,0.11946394223338098
1703,incumbent,8,0.09661871778641859
1703,incumbent,9,0.08824595461632795
1703,incumbent,10,0.07467480987211274
1703,incumbent,11,0.06244651356899612
1703,incumbent,12,0.05865111132460258
1703,continuation,1,0.05658521298937267
1703,continuation,2,0.05073378541465003
1703,continuation,3,0.048486589291670094
1703,continuation,4,0.04609890087351571
1703,continuation,5,0.04435486811486887
1703,continuation,6,0.041275669665084606
1703,continuation,7,0.04095346672202745
