mechanism,alpha,absolute_bias,q_mean_norm,p_mean_norm,rho_Q,rho_P,squared_rho_Q_derivative
edit,0.0,0.49339569133286276,1.1026168785143202,0.6757551200513632,0.4474769985361282,0.7301397750347204,-0.02214272746882737
edit,0.05,0.4921702186295683,1.104791363819304,0.6810613476876058,0.4454870256480987,0.7226518144079445,-0.0486831228346678
edit,0.1,0.4920718084768801,1.1131627360429204,0.6984397123710224,0.44204840185910355,0.7045301115631346,-0.07286868641207633
edit,0.15000000000000002,0.49310113567231273,1.1275929845556822,0.7270250338084707,0.43730418903467616,0.6782450572427146,-0.09328426805651846
edit,0.2,0.4952511686172267,1.1478536245025361,0.7655629714242536,0.4314584700047113,0.6469110799544827,-0.10903681915216544
edit,0.25,0.4985074069097868,1.1736427438994441,0.8126388017514854,0.42475225915297626,0.6134427815104948,-0.119814298208083
edit,0.30000000000000004,0.5028483610223838,1.204605321211811,0.8668626629822515,0.41743826975338905,0.5800784628241388,-0.12582060442053877
edit,0.35000000000000003,0.5082462378942539,1.240353986584311,0.9269810280138984,0.40975902314295237,0.5482811649157437,-0.12763147072231237
edit,0.4,0.514667783328444,1.2804879486895466,0.9919227145232435,0.4019309856489909,0.5188587536034127,-0.12602671427682957
edit,0.45,0.5220752252027986,1.3246086607004055,1.0608022494042184,0.39413544595635064,0.4921513180199357,-0.12184225874925268
edit,0.5,0.5304272608536239,1.372331652271297,1.132901605859649,0.3865153587150254,0.46820240885009085,-0.11586409036634827
edit,0.55,0.5396800367389838,1.423294616798856,1.2076442275116157,0.3791766162600844,0.44688661150727266,-0.10876740356430649
edit,0.6000000000000001,0.5497880771390828,1.4771622494334617,1.2845688021236212,0.37219207121624176,0.42799426253399986,-0.10109288539561355
edit,0.65,0.5607051294448593,1.5336285073817046,1.3633060294742836,0.36560687724964513,0.41128339295989014,-0.09324817291475138
edit,0.7000000000000001,0.5723849048665152,1.59241697702459,1.4435593330642806,0.3594441111372781,0.39650944145918754,-0.08552334180502665
edit,0.75,0.5847817038554725,1.6532799524999449,1.5250893946315007,0.3537100313659625,0.383440935274991,-0.07811212669420352
edit,0.8,0.5978509243289303,1.7159967122696052,1.6077019843933755,0.3483986420569553,0.37186675772780975,-0.07113364099619138
edit,0.8500000000000001,0.6115494575172068,1.7803713585265735,1.6912384737498585,0.34349544806389276,0.3615985959456465,-0.06465182724874749
edit,0.9,0.6258359808847773,1.8462304770973768,1.7755684653162593,0.3389804191016876,0.3524707681566676,-0.05869153377973436
edit,0.9500000000000001,0.6406711603172245,1.9134207894303976,1.860584067013301,0.3348302494967375,0.3443387330225076,-0.053251090227988365
edit,1.0,0.6560177749620915,1.981806903521499,1.9461954324492716,0.33102002712595496,0.33707702937957174,-0.04831174239098909
length,0.0,0.12684114558597967,0.6583287290601753,0.6757551200513632,0.19267144207280315,0.1877028258052098,-0.0029331509481399613
length,0.05,0.1266414347721108,0.6634256393338505,0.6810613476876058,0.19089017255840787,0.1859471767148348,-0.023977191309655213
length,0.1,0.12697108435294208,0.6806342121843048,0.6984397123710224,0.18654819590314736,0.1817924755766078,-0.04055672795969217
length,0.15000000000000002,0.12782599890254376,0.7090731775470347,0.7270250338084707,0.18027194223414936,0.175820629219514,-0.05035148768227715
length,0.2,0.12919575148646467,0.7474617715229497,0.7655629714242536,0.1728459653839272,0.1687591436745025,-0.053559441272646585
length,0.25,0.13106420137443944,0.7943588087951704,0.8126388017514854,0.16499370300082494,0.16128223399123442,-0.05192130863584241
length,0.30000000000000004,0.1334103970263748,0.8483544205008992,0.8668626629822515,0.15725785568206796,0.1539002690084788,-0.04748076628992839
