n,alpha,method,repetitions,mse_full,mse_full_mcse,ci_low,ci_high,exact_mse_full,mse_own,bias_own_0,bias_own_1,mcse_mean_0,mcse_mean_1
1,0,unweighted,10000,2.256208,0.018813362361203102,2.219333809772042,2.293082190227958,2.2424999999999997,2.5770880000000003,0.554919999999901,0.5470800000000576,0.012739301721084798,0.00589197920073469
1,0,oracle_ipw,10000,7.2699308641975335,0.17167705485203238,6.93344383668755,7.606417891707517,6.895833333333334,6.227753086419756,0.017711111111080147,-0.030200000000000865,0.0207476626482443,0.013865406681079526
1,0,self_normalized,10000,2.256208,0.018813362361203102,2.219333809772042,2.293082190227958,,2.5770880000000003,0.554919999999901,0.5470800000000576,0.012739301721084798,0.00589197920073469
1,0,population_clipped,10000,3.4278289745527846,0.0640587539588477,3.302273816793443,3.553384132312126,3.3152210884353748,3.115860720584531,0.3055015873013882,0.2790571428571611,0.014455681986125544,0.009248154897231613
1,0.25,unweighted,10000,2.25954925,0.01504706807569559,2.2300569965716366,2.2890415034283635,2.2504687500000005,2.6995855000000004,0.5550849999999645,0.5468399999999131,0.013092560131256951,0.006152155016019519
1,0.25,oracle_ipw,10000,7.221803317901236,0.17805171728588431,6.872821952020903,7.57078468378157,6.80685763888889,6.65308040123457,0.026358333333452055,-0.028277777777778117,0.02199210559591072,0.01347488087698264
1,0.25,self_normalized,10000,2.25954925,0.01504706807569559,2.2300569965716366,2.2890415034283635,,2.6995855000000004,0.5550849999999645,0.5468399999999131,0.013092560131256951,0.006152155016019519
1,0.25,population_clipped,10000,3.2451179744583016,0.057038317652606654,3.1333228718591926,3.3569130770574107,3.128185232426303,3.2168017542202074,0.30960476190480146,0.27982103174599243,0.014846270312480035,0.009158786540909897
1,0.5,unweighted,10000,2.401432999999999,0.013620870439320405,2.3747360939389313,2.428129906061067,2.3968749999999996,2.8277079999999994,0.5552499999998108,0.5466000000000867,0.013446996910931161,0.006423696006742435
1,0.5,oracle_ipw,10000,7.585403395061733,0.20790335064543553,7.177912827796679,7.992893962326787,7.102430555555557,7.348195061728399,0.035005555555331025,-0.026355555555560836,0.023695817970673657,0.013160896114941584
