mechanism,seed,draw,original_line
edit,8101,0,1334
edit,8101,1,6903
edit,8101,2,3008
edit,8101,3,5343
edit,8101,4,3702
edit,8101,5,4063
edit,8101,6,907
edit,8101,7,3125
edit,8101,8,5214
edit,8101,9,6901
edit,8101,10,484
edit,8101,11,5978
edit,8101,12,1192
edit,8101,13,4477
edit,8101,14,2001
edit,8101,15,1321
edit,8101,16,6343
edit,8101,17,4477
edit,8101,18,6350
edit,8101,19,2951
edit,8101,20,3068
edit,8101,21,1458
edit,8101,22,4909
edit,8101,23,1347
edit,8101,24,3077
edit,8101,25,3983
edit,8101,26,4589
edit,8101,27,2381
edit,8101,28,4307
edit,8101,29,2220
edit,8101,30,1928
edit,8101,31,5356
edit,8101,32,859
edit,8101,33,3110
edit,8101,34,3123
edit,8101,35,2616
edit,8101,36,1458
edit,8101,37,6344
edit,8101,38,6419
edit,8101,39,3110
edit,8101,40,2325
edit,8101,41,3702
edit,8101,42,6119
edit,8101,43,240
edit,8101,44,2929
edit,8101,45,558
edit,8101,46,1334
edit,8101,47,1655
edit,8101,48,1247
edit,8101,49,3077
edit,8101,50,3292
edit,8101,51,6645
edit,8101,52,6599
edit,8101,53,3183
edit,8101,54,6350
edit,8101,55,3702
edit,8101,56,2800
edit,8101,57,2516
edit,8101,58,2605
edit,8101,59,4387
edit,8101,60,3145
edit,8101,61,198
edit,8101,62,4840
edit,8101,63,6901
length,8102,0,2800
length,8102,1,6903
length,8102,2,995
length,8102,3,225
length,8102,4,4761
length,8102,5,1031
length,8102,6,5927
length,8102,7,1105
length,8102,8,3479
length,8102,9,2314
length,8102,10,2154
length,8102,11,4127
length,8102,12,4557
length,8102,13,3417
length,8102,14,6575
length,8102,15,225
length,8102,16,2929
length,8102,17,332
length,8102,18,3956
length,8102,19,4483
length,8102,20,4589
length,8102,21,4044
length,8102,22,405
length,8102,23,2951
length,8102,24,3463
length,8102,25,1174
length,8102,26,186
length,8102,27,706
length,8102,28,5130
length,8102,29,2329
length,8102,30,5151
length,8102,31,1084
length,8102,32,5151
length,8102,33,642
length,8102,34,995
length,8102,35,198
length,8102,36,642
length,8102,37,962
length,8102,38,4044
length,8102,39,4483
length,8102,40,3479
length,8102,41,3252
length,8102,42,2616
length,8102,43,3529
length,8102,44,101
length,8102,45,5331
length,8102,46,5907
length,8102,47,240
length,8102,48,581
length,8102,49,101
length,8102,50,4387
length,8102,51,1009
length,8102,52,4806
length,8102,53,4337
length,8102,54,5082
length,8102,55,1694
length,8102,56,4125
length,8102,57,2220
length,8102,58,3208
length,8102,59,1957
length,8102,60,2231
length,8102,61,5082
length,8102,62,3463
length,8102,63,4981
edit_length,8103,0,4157
edit_length,8103,1,198
edit_length,8103,2,3463
edit_length,8103,3,2616
edit_length,8103,4,2516
edit_length,8103,5,6343
edit_length,8103,6,6449
edit_length,8103,7,5120
edit_length,8103,8,558
edit_length,8103,9,5817
edit_length,8103,10,321
edit_length,8103,11,2616
edit_length,8103,12,5289
edit_length,8103,13,4652
edit_length,8103,14,6350
edit_length,8103,15,1752
edit_length,8103,16,2605
edit_length,8103,17,1766
edit_length,8103,18,3149
edit_length,8103,19,944
edit_length,8103,20,3888
edit_length,8103,21,2416
edit_length,8103,22,3479
edit_length,8103,23,4389
edit_length,8103,24,3123
edit_length,8103,25,2230
edit_length,8103,26,2954
edit_length,8103,27,5154
edit_length,8103,28,2602
edit_length,8103,29,1436
edit_length,8103,30,1204
edit_length,8103,31,6841
edit_length,8103,32,4397
edit_length,8103,33,3702
edit_length,8103,34,4225
edit_length,8103,35,5343
edit_length,8103,36,2182
edit_length,8103,37,4127
edit_length,8103,38,1458
edit_length,8103,39,6419
edit_length,8103,40,5264
edit_length,8103,41,1105
edit_length,8103,42,3378
edit_length,8103,43,40
edit_length,8103,44,2001
edit_length,8103,45,6788
edit_length,8103,46,6859
edit_length,8103,47,6859
edit_length,8103,48,493
edit_length,8103,49,2303
edit_length,8103,50,3702
edit_length,8103,51,3368
edit_length,8103,52,6599
edit_length,8103,53,1694
edit_length,8103,54,3306
edit_length,8103,55,3068
edit_length,8103,56,4123
edit_length,8103,57,6599
edit_length,8103,58,5130
edit_length,8103,59,2637
edit_length,8103,60,5372
edit_length,8103,61,4978
edit_length,8103,62,1458
edit_length,8103,63,3137
