adapter_id,mechanism,alpha,method,step_size,gradient_norm,reporting_examples,baseline_mean_nll,adapted_mean_nll,nll_change,nll_change_se
0,edit,0.0,population_P,1.0,0.023898576671489428,256,1.970115694970462,1.9686694616331661,-0.001446233337295729,6.535304553204989e-05
1,edit,0.0,population_P,10.0,0.023898576671489428,256,1.970115694970462,1.956399671274744,-0.013716023695717793,0.0006471326077349749
2,edit,0.0,sampled_Q,1.0,0.0382032993040641,256,1.970115694970462,1.9678389675164034,-0.0022767274540584958,0.00010720366415177083
3,edit,0.0,sampled_Q,10.0,0.0382032993040641,256,1.970115694970462,1.9493231817092627,-0.020792513261199217,0.0010547549186492138
4,edit,0.0,oracle_ipw,1.0,0.028115572229388507,256,1.970115694970462,1.9684784115237386,-0.0016372834467233868,7.510047272382952e-05
5,edit,0.0,oracle_ipw,10.0,0.028115572229388507,256,1.970115694970462,1.9547236504277186,-0.01539204454274333,0.000742453437025474
6,edit,0.25,population_P,1.0,0.03465654741957208,256,1.970115694970462,1.9679194798409487,-0.002196215129513272,0.00010061981265342488
7,edit,0.25,population_P,10.0,0.03465654741957208,256,1.970115694970462,1.949915852808339,-0.020199842162123036,0.0009907274888846566
8,edit,0.25,sampled_Q,1.0,0.04830631418926174,256,1.970115694970462,1.9671499515744792,-0.0029657433959827733,0.00014135080494814513
9,edit,0.25,sampled_Q,10.0,0.04830631418926174,256,1.970115694970462,1.9439251099058028,-0.026190585064659218,0.0013837424777152535
10,edit,0.25,oracle_ipw,1.0,0.04048134385274703,256,1.970115694970462,1.967637885997509,-0.002477808972952895,0.0001166608894892848
11,edit,0.25,oracle_ipw,10.0,0.04048134385274703,256,1.970115694970462,1.947717196415754,-0.022398498554707914,0.0011460590948344511
12,edit,0.5,population_P,1.0,0.046013166797500074,256,1.970115694970462,1.9671742253732374,-0.0029414695972244734,0.00013600692770502872
13,edit,0.5,population_P,10.0,0.046013166797500074,256,1.970115694970462,1.9439468713155632,-0.02616882365489874,0.0013320164793689613
