mechanism,seed,draw,original_line
edit,8101,0,6334
edit,8101,1,5907
edit,8101,2,3605
edit,8101,3,1334
edit,8101,4,250
edit,8101,5,5214
edit,8101,6,5484
edit,8101,7,2329
edit,8101,8,6896
edit,8101,9,4502
edit,8101,10,6901
edit,8101,11,3096
edit,8101,12,3208
edit,8101,13,4477
edit,8101,14,4483
edit,8101,15,6119
edit,8101,16,812
edit,8101,17,2800
edit,8101,18,2617
edit,8101,19,2605
edit,8101,20,2325
edit,8101,21,3619
edit,8101,22,3556
edit,8101,23,5225
edit,8101,24,3077
edit,8101,25,2314
edit,8101,26,4589
edit,8101,27,1467
edit,8101,28,4307
edit,8101,29,310
edit,8101,30,3252
edit,8101,31,2305
edit,8101,32,4978
edit,8101,33,1174
edit,8101,34,4521
edit,8101,35,4870
edit,8101,36,3619
edit,8101,37,397
edit,8101,38,5556
edit,8101,39,3314
edit,8101,40,4063
edit,8101,41,962
edit,8101,42,4652
edit,8101,43,6221
edit,8101,44,4806
edit,8101,45,5151
edit,8101,46,6334
edit,8101,47,4225
edit,8101,48,4445
edit,8101,49,3077
edit,8101,50,2220
edit,8101,51,6080
edit,8101,52,1321
edit,8101,53,4470
edit,8101,54,3529
edit,8101,55,3348
edit,8101,56,2831
edit,8101,57,240
edit,8101,58,4127
edit,8101,59,2325
edit,8101,60,5978
edit,8101,61,6419
edit,8101,62,812
edit,8101,63,2637
length,8102,0,2800
length,8102,1,5929
length,8102,2,332
length,8102,3,6072
length,8102,4,5120
length,8102,5,4387
length,8102,6,2567
length,8102,7,321
length,8102,8,4652
length,8102,9,2314
length,8102,10,3068
length,8102,11,2605
length,8102,12,809
length,8102,13,1321
length,8102,14,697
length,8102,15,6072
length,8102,16,852
length,8102,17,3306
length,8102,18,2182
length,8102,19,2287
length,8102,20,6973
length,8102,21,101
length,8102,22,3951
length,8102,23,5795
length,8102,24,5343
length,8102,25,4157
length,8102,26,1752
length,8102,27,867
length,8102,28,3123
length,8102,29,2329
length,8102,30,558
length,8102,31,1192
length,8102,32,5893
length,8102,33,5893
length,8102,34,4732
length,8102,35,198
length,8102,36,5893
length,8102,37,962
length,8102,38,101
length,8102,39,2287
length,8102,40,4652
length,8102,41,3252
length,8102,42,5795
length,8102,43,3146
length,8102,44,3463
length,8102,45,1458
length,8102,46,6903
length,8102,47,2516
length,8102,48,3750
length,8102,49,3463
length,8102,50,3380
length,8102,51,1957
length,8102,52,4981
length,8102,53,4044
length,8102,54,3096
length,8102,55,1694
length,8102,56,1770
length,8102,57,3252
length,8102,58,1084
length,8102,59,5038
length,8102,60,484
length,8102,61,4225
length,8102,62,5343
length,8102,63,642
edit_length,8103,0,4483
edit_length,8103,1,198
edit_length,8103,2,5343
edit_length,8103,3,1467
edit_length,8103,4,4618
edit_length,8103,5,3040
edit_length,8103,6,3493
edit_length,8103,7,6837
edit_length,8103,8,613
edit_length,8103,9,2325
edit_length,8103,10,2617
edit_length,8103,11,1467
edit_length,8103,12,5289
edit_length,8103,13,5817
edit_length,8103,14,5060
edit_length,8103,15,2951
edit_length,8103,16,4870
edit_length,8103,17,1207
edit_length,8103,18,3842
edit_length,8103,19,5941
edit_length,8103,20,5289
edit_length,8103,21,4914
edit_length,8103,22,4445
edit_length,8103,23,4157
edit_length,8103,24,5214
edit_length,8103,25,3823
edit_length,8103,26,4389
edit_length,8103,27,5795
edit_length,8103,28,4125
edit_length,8103,29,4470
edit_length,8103,30,1204
edit_length,8103,31,2230
edit_length,8103,32,4397
edit_length,8103,33,906
edit_length,8103,34,4442
edit_length,8103,35,6334
edit_length,8103,36,4806
edit_length,8103,37,4127
edit_length,8103,38,6735
edit_length,8103,39,5556
edit_length,8103,40,4840
edit_length,8103,41,1105
edit_length,8103,42,5120
edit_length,8103,43,6119
edit_length,8103,44,4483
edit_length,8103,45,6788
edit_length,8103,46,852
edit_length,8103,47,6859
edit_length,8103,48,3983
edit_length,8103,49,2000
edit_length,8103,50,906
edit_length,8103,51,5225
edit_length,8103,52,6599
edit_length,8103,53,2314
edit_length,8103,54,5707
edit_length,8103,55,74
edit_length,8103,56,2605
edit_length,8103,57,6599
edit_length,8103,58,130
edit_length,8103,59,2637
edit_length,8103,60,1766
edit_length,8103,61,1064
edit_length,8103,62,1458
edit_length,8103,63,5038
