split,mechanism,alpha,P_gradient_norm,Q_gradient_norm,absolute_bias,rho_Q,rho_P,oracle_ipw_bias,rho_Q_squared_derivative_numerator,rho_P_squared_derivative_numerator
diagnostic,edit,0.0,0.023898576671489428,0.03308603216187476,0.009718311947427795,0.293728540789677,0.40664814817283934,4.943636634086364e-19,-3.362502983855211e-07,-2.378009095818464e-07
diagnostic,edit,0.05,0.02596599228109825,0.034965199338095033,0.009477270984079852,0.2710486759260155,0.3649878225905028,4.262819063282943e-18,-3.48806193541802e-07,-2.5664725692933915e-07
diagnostic,edit,0.1,0.02808507754063987,0.036871793867328743,0.00923971184188623,0.2505902445411892,0.3289900776850666,2.631198372951103e-18,-3.60059708737946e-07,-2.7406199830561076e-07
diagnostic,edit,0.15000000000000002,0.03024497384505651,0.03880177288401653,0.009005910056943216,0.23210047860088853,0.2977655098357844,4.335348541439952e-18,-3.700108439739531e-07,-2.900451337106612e-07
diagnostic,edit,0.2,0.03243752984453732,0.04075181410191144,0.008776165928448262,0.21535644785041902,0.2705559261296902,3.916541792184961e-18,-3.786595992498233e-07,-3.045966631444904e-07
diagnostic,edit,0.25,0.03465654741957208,0.042719170216153034,0.008550806527504244,0.2001632167534706,0.24672990139448303,5.109123436163169e-19,-3.8600597456555655e-07,-3.1771658660709844e-07
diagnostic,edit,0.30000000000000004,0.03689725264538742,0.04470155515216988,0.008330187726288638,0.18635118393379382,0.22576715416588086,2.671939852751754e-18,-3.9204996992115295e-07,-3.2940490409848534e-07
diagnostic,edit,0.35000000000000003,0.03915592245896843,0.04669705493705455,0.0081146961900528,0.17377318978661568,0.20724058278939045,2.662520502677918e-18,-3.9679158531661237e-07,-3.3966161561865105e-07
diagnostic,edit,0.4,0.04142961877148587,0.04870405757503216,0.007904751253249768,0.16230169819161208,0.19079951705204323,2.6851736964886727e-18,-4.002308207519349e-07,-3.484867211675955e-07
diagnostic,edit,0.45,0.04371599703302298,0.05072119760470681,0.0077008065754111815,0.15182619770587918,0.17615534582441314,3.1124316831597893e-18,-4.0236767622712057e-07,-3.558802207453189e-07
diagnostic,edit,0.5,0.046013166797500074,0.05274731202957511,0.007503351442208108,0.14225087788361657,0.16306965950050128,5.487625537410311e-19,-4.0320215174216924e-07,-3.61842114351821e-07
diagnostic,edit,0.55,0.048319588967421646,0.05478140509279536,0.007312911543012439,0.1334925880529159,0.15134465543452777,2.6877726332587348e-18,-4.0273424729708104e-07,-3.6637240198710196e-07
diagnostic,edit,0.6000000000000001,0.05063399919351926,0.05682261996109004,0.0071300490197339795,0.12547906141280293,0.1408154428506324,2.7391816962305663e-18,-4.0096396289185596e-07,-3.694710836511617e-07
diagnostic,edit,0.65,0.0529553501336806,0.058870215833220295,0.0069553615455231615,0.11814737634439368,0.1313438874063722,2.8080863273291548e-18,-3.978912985264939e-07,-3.711381593440004e-07
diagnostic,edit,0.7000000000000001,0.05528276746269866,0.06092354932998704,0.0067894801606104265,0.11144262334152276,0.12281368086703585,9.134392541091766e-18,-3.93516254200995e-07,-3.7137362906561774e-07
