split,mechanism,alpha,method,replicate,squared_error
diagnostic,edit,0.0,unweighted,0,0.0014342825254606254
diagnostic,edit,0.0,unweighted,1,0.002032222759946849
diagnostic,edit,0.0,unweighted,2,0.0013424649731850159
diagnostic,edit,0.0,unweighted,3,0.0016549690759858596
diagnostic,edit,0.0,unweighted,4,0.0016975046499390293
diagnostic,edit,0.0,unweighted,5,0.001591400569254164
diagnostic,edit,0.0,unweighted,6,0.0018263124537014565
diagnostic,edit,0.0,unweighted,7,0.0010828012218930157
diagnostic,edit,0.0,unweighted,8,0.0023490856690310574
diagnostic,edit,0.0,unweighted,9,0.002392408830233042
diagnostic,edit,0.0,unweighted,10,0.0014531351093881918
diagnostic,edit,0.0,unweighted,11,0.0016448827098804416
diagnostic,edit,0.0,unweighted,12,0.0018653598034090732
diagnostic,edit,0.0,unweighted,13,0.0014288028796654337
diagnostic,edit,0.0,unweighted,14,0.0013374441047583412
diagnostic,edit,0.0,unweighted,15,0.001552374305356455
diagnostic,edit,0.0,unweighted,16,0.0014204445335418792
diagnostic,edit,0.0,unweighted,17,0.002638838098410788
diagnostic,edit,0.0,unweighted,18,0.0016690693102767303
diagnostic,edit,0.0,unweighted,19,0.001450880748530072
diagnostic,edit,0.0,unweighted,20,0.001965141576230076
diagnostic,edit,0.0,unweighted,21,0.0013073322286453566
diagnostic,edit,0.0,unweighted,22,0.00200876498127007
diagnostic,edit,0.0,unweighted,23,0.0021796013993335534
diagnostic,edit,0.0,unweighted,24,0.0015282650101469102
diagnostic,edit,0.0,unweighted,25,0.0020280445181236565
diagnostic,edit,0.0,unweighted,26,0.001826085591800667
diagnostic,edit,0.0,unweighted,27,0.001344675202467407
diagnostic,edit,0.0,unweighted,28,0.0014468869240532195
diagnostic,edit,0.0,unweighted,29,0.0013162714434440327
diagnostic,edit,0.0,unweighted,30,0.0021927201303775863
diagnostic,edit,0.0,unweighted,31,0.0027024962562056496
diagnostic,edit,0.0,unweighted,32,0.0015125400307944346
diagnostic,edit,0.0,unweighted,33,0.0015381224996945718
diagnostic,edit,0.0,unweighted,34,0.0019890324628619237
diagnostic,edit,0.0,unweighted,35,0.001479046347800474
diagnostic,edit,0.0,unweighted,36,0.0014517532760091754
diagnostic,edit,0.0,unweighted,37,0.0011679099838038576
diagnostic,edit,0.0,unweighted,38,0.001485739889908776
diagnostic,edit,0.0,unweighted,39,0.0027289007866399193
diagnostic,edit,0.0,unweighted,40,0.00131514472023505
diagnostic,edit,0.0,unweighted,41,0.0013986780616663712
diagnostic,edit,0.0,unweighted,42,0.001784647911302084
diagnostic,edit,0.0,unweighted,43,0.002208854746473853
diagnostic,edit,0.0,unweighted,44,0.0011212987050005486
diagnostic,edit,0.0,unweighted,45,0.002218442378845187
diagnostic,edit,0.0,unweighted,46,0.0018059520058852736
diagnostic,edit,0.0,unweighted,47,0.001979643101864311
diagnostic,edit,0.0,unweighted,48,0.0016564494692832279
diagnostic,edit,0.0,unweighted,49,0.0018501174003155351
diagnostic,edit,0.0,unweighted,50,0.0018321257176215134
diagnostic,edit,0.0,unweighted,51,0.0009459180213339698
diagnostic,edit,0.0,unweighted,52,0.0013266497325391132
diagnostic,edit,0.0,unweighted,53,0.0021578757436636346
diagnostic,edit,0.0,unweighted,54,0.0019128887101340908
diagnostic,edit,0.0,unweighted,55,0.0021038977628435275
diagnostic,edit,0.0,unweighted,56,0.0020418216234202747
diagnostic,edit,0.0,unweighted,57,0.0019681380040005563
diagnostic,edit,0.0,unweighted,58,0.0012906647661896308
diagnostic,edit,0.0,unweighted,59,0.0017821862319148435
diagnostic,edit,0.0,unweighted,60,0.0017374870121427354
diagnostic,edit,0.0,unweighted,61,0.0016332626728324587
diagnostic,edit,0.0,unweighted,62,0.0017335547497514124
diagnostic,edit,0.0,unweighted,63,0.0019881299405290027
diagnostic,edit,0.0,unweighted,64,0.0018443470740507838
diagnostic,edit,0.0,unweighted,65,0.0013951509618612516
diagnostic,edit,0.0,unweighted,66,0.001633359661511687
diagnostic,edit,0.0,unweighted,67,0.001671323447226712
diagnostic,edit,0.0,unweighted,68,0.0014358842786309032
diagnostic,edit,0.0,unweighted,69,0.0019230155497590965
diagnostic,edit,0.0,unweighted,70,0.0017910831473959016
diagnostic,edit,0.0,unweighted,71,0.0017271257849617533
diagnostic,edit,0.0,unweighted,72,0.0017708917893053755
diagnostic,edit,0.0,unweighted,73,0.001787921958957235
diagnostic,edit,0.0,unweighted,74,0.0015981043422363147
diagnostic,edit,0.0,unweighted,75,0.0020090701884590226
diagnostic,edit,0.0,unweighted,76,0.0021639767624218216
diagnostic,edit,0.0,unweighted,77,0.0013439991721685685
diagnostic,edit,0.0,unweighted,78,0.0021117108786577045
diagnostic,edit,0.0,unweighted,79,0.0019310608273649737
diagnostic,edit,0.0,unweighted,80,0.0017792780195348386
diagnostic,edit,0.0,unweighted,81,0.001595255182763796
diagnostic,edit,0.0,unweighted,82,0.0016237744373709113
diagnostic,edit,0.0,unweighted,83,0.0013408949221899442
diagnostic,edit,0.0,unweighted,84,0.0020662096691329403
diagnostic,edit,0.0,unweighted,85,0.0019704856745278946
diagnostic,edit,0.0,unweighted,86,0.0015268495172195713
diagnostic,edit,0.0,unweighted,87,0.001664952082117449
diagnostic,edit,0.0,unweighted,88,0.0021144365133369345
diagnostic,edit,0.0,unweighted,89,0.0014335108065101603
diagnostic,edit,0.0,unweighted,90,0.0016928068589760468
diagnostic,edit,0.0,unweighted,91,0.0011909103299194267
diagnostic,edit,0.0,unweighted,92,0.0007506563883235276
diagnostic,edit,0.0,unweighted,93,0.0018291083603513424
diagnostic,edit,0.0,unweighted,94,0.0015866284304368525
diagnostic,edit,0.0,unweighted,95,0.0015510134540718448
diagnostic,edit,0.0,unweighted,96,0.0023548635634473183
diagnostic,edit,0.0,unweighted,97,0.0021029409132195817
diagnostic,edit,0.0,unweighted,98,0.0015018631691646367
diagnostic,edit,0.0,unweighted,99,0.0013853418342370818
diagnostic,edit,0.0,unweighted,100,0.0021032834749923485
diagnostic,edit,0.0,unweighted,101,0.0013273090477159935
diagnostic,edit,0.0,unweighted,102,0.0015008305738150628
diagnostic,edit,0.0,unweighted,103,0.0011482498913885286
diagnostic,edit,0.0,unweighted,104,0.000937141915607757
diagnostic,edit,0.0,unweighted,105,0.001695671946153893
diagnostic,edit,0.0,unweighted,106,0.002243497053076613
diagnostic,edit,0.0,unweighted,107,0.0026519630306522457
diagnostic,edit,0.0,unweighted,108,0.0014436313648492926
diagnostic,edit,0.0,unweighted,109,0.0019916215693545104
diagnostic,edit,0.0,unweighted,110,0.0014213821021156416
diagnostic,edit,0.0,unweighted,111,0.0022920228948732618
diagnostic,edit,0.0,unweighted,112,0.0017339663302030084
diagnostic,edit,0.0,unweighted,113,0.0013916070179287676
diagnostic,edit,0.0,unweighted,114,0.0006940304007364137
diagnostic,edit,0.0,unweighted,115,0.0021648306212546506
diagnostic,edit,0.0,unweighted,116,0.0018993810363891334
diagnostic,edit,0.0,unweighted,117,0.0017406150354102958
diagnostic,edit,0.0,unweighted,118,0.0017222110819020036
diagnostic,edit,0.0,unweighted,119,0.0018749994594842879
diagnostic,edit,0.0,unweighted,120,0.0013141422722350328
diagnostic,edit,0.0,unweighted,121,0.0014376204363063549
diagnostic,edit,0.0,unweighted,122,0.0023533456495779185
diagnostic,edit,0.0,unweighted,123,0.0013689082812991795
diagnostic,edit,0.0,unweighted,124,0.0015410490213160822
diagnostic,edit,0.0,unweighted,125,0.0013584041133131905
diagnostic,edit,0.0,unweighted,126,0.0018532422570281051
diagnostic,edit,0.0,unweighted,127,0.0015926367450912378
diagnostic,edit,0.0,unweighted,128,0.001508262590572279
diagnostic,edit,0.0,unweighted,129,0.0011789504544384372
diagnostic,edit,0.0,unweighted,130,0.00239681283031374
diagnostic,edit,0.0,unweighted,131,0.001466233993155435
diagnostic,edit,0.0,unweighted,132,0.0016148759222824427
diagnostic,edit,0.0,unweighted,133,0.0022460473095718995
diagnostic,edit,0.0,unweighted,134,0.0015305784357565128
diagnostic,edit,0.0,unweighted,135,0.0015737172868131298
diagnostic,edit,0.0,unweighted,136,0.0019542036012975598
diagnostic,edit,0.0,unweighted,137,0.0013577996600052822
diagnostic,edit,0.0,unweighted,138,0.0011931527140204429
diagnostic,edit,0.0,unweighted,139,0.0015005301830656797
diagnostic,edit,0.0,unweighted,140,0.0024305102792819416
diagnostic,edit,0.0,unweighted,141,0.0016984982889531603
diagnostic,edit,0.0,unweighted,142,0.001782696054719408
diagnostic,edit,0.0,unweighted,143,0.0017052065685571908
diagnostic,edit,0.0,unweighted,144,0.0013103614299615402
diagnostic,edit,0.0,unweighted,145,0.0021927187187007757
diagnostic,edit,0.0,unweighted,146,0.0019751378877591076
diagnostic,edit,0.0,unweighted,147,0.0016711433046863542
diagnostic,edit,0.0,unweighted,148,0.001946500184494728
diagnostic,edit,0.0,unweighted,149,0.0013267094048966554
diagnostic,edit,0.0,unweighted,150,0.0017940506855938809
diagnostic,edit,0.0,unweighted,151,0.0018877349538477307
diagnostic,edit,0.0,unweighted,152,0.002021520890535801
diagnostic,edit,0.0,unweighted,153,0.0012137835380868877
diagnostic,edit,0.0,unweighted,154,0.001989719830898726
diagnostic,edit,0.0,unweighted,155,0.0018526402806557881
diagnostic,edit,0.0,unweighted,156,0.0028445906701824843
diagnostic,edit,0.0,unweighted,157,0.0018169573386062378
diagnostic,edit,0.0,unweighted,158,0.001913457315046971
diagnostic,edit,0.0,unweighted,159,0.002091378058794214
diagnostic,edit,0.0,unweighted,160,0.001777101621544507
diagnostic,edit,0.0,unweighted,161,0.0013401006357442384
diagnostic,edit,0.0,unweighted,162,0.0018175979681893384
diagnostic,edit,0.0,unweighted,163,0.0018206051601523951
diagnostic,edit,0.0,unweighted,164,0.0011343590430673454
diagnostic,edit,0.0,unweighted,165,0.0011919163291065301
diagnostic,edit,0.0,unweighted,166,0.0018533088948614143
diagnostic,edit,0.0,unweighted,167,0.0014205191487250538
diagnostic,edit,0.0,unweighted,168,0.002084901817064369
diagnostic,edit,0.0,unweighted,169,0.0023186050240274403
diagnostic,edit,0.0,unweighted,170,0.0025053496687121625
diagnostic,edit,0.0,unweighted,171,0.002611873715522582
diagnostic,edit,0.0,unweighted,172,0.0021047761291998882
diagnostic,edit,0.0,unweighted,173,0.0020233875909526815
diagnostic,edit,0.0,unweighted,174,0.0011304276850698407
diagnostic,edit,0.0,unweighted,175,0.0016035340531535425
diagnostic,edit,0.0,unweighted,176,0.001862756688370624
diagnostic,edit,0.0,unweighted,177,0.0019244694559230132
diagnostic,edit,0.0,unweighted,178,0.0016016216620987154
diagnostic,edit,0.0,unweighted,179,0.0018429255449798909
diagnostic,edit,0.0,unweighted,180,0.002228095776438534
diagnostic,edit,0.0,unweighted,181,0.0012013964136777027
diagnostic,edit,0.0,unweighted,182,0.00209289660063078
diagnostic,edit,0.0,unweighted,183,0.0021646425286202253
diagnostic,edit,0.0,unweighted,184,0.0013704352853900154
diagnostic,edit,0.0,unweighted,185,0.0019037996168728322
diagnostic,edit,0.0,unweighted,186,0.0022998633063822387
diagnostic,edit,0.0,unweighted,187,0.0017359131122285229
diagnostic,edit,0.0,unweighted,188,0.001570054148163076
diagnostic,edit,0.0,unweighted,189,0.0011458692589303883
diagnostic,edit,0.0,unweighted,190,0.001258719566351236
diagnostic,edit,0.0,unweighted,191,0.001752420497736459
diagnostic,edit,0.0,unweighted,192,0.0015973513441958228
diagnostic,edit,0.0,unweighted,193,0.0014850411897840755
diagnostic,edit,0.0,unweighted,194,0.00157322905998934
diagnostic,edit,0.0,unweighted,195,0.0021878384098388205
diagnostic,edit,0.0,unweighted,196,0.0014801420476102086
diagnostic,edit,0.0,unweighted,197,0.002202758550855001
diagnostic,edit,0.0,unweighted,198,0.0019562239889062936
