line,raw_triple_sha256,rank_hash,split,source_length,mt_length,pe_length,edit_fraction,edited_tokens,untouched_tokens,levenshtein_distance,deletions
4207,c36a474d7fd331be8bf8acf565e4fbe4df52c5c8f994e825046b2fac3e8ec129,00091e092cc2577399e449e89526c0c7bfea29bcc4d757228c4f07b47a2396d2,diagnostic,39,45,45,0.35555555555555557,16,30,16,0
149,7bae7dabe78e0ab95b2bee3250a50468a72d110855fd8629138ce50453504074,000d76b8a158a3f8142019475a86f22630e985b7fd30dfab40be5e8ac71c80a5,diagnostic,19,21,22,0.3181818181818182,7,16,7,0
5037,d662b4278c3e20a250c547f941db58f25b1cd632f21ab309a68ea3ba1ba89f0a,001ae68318eeea4c5f8b24c46ce4de96ee4333dbddf8eb6f0a9695a6a9476e6d,diagnostic,30,22,22,0.09090909090909091,2,21,2,0
198,d047ff83af59da80ba1a6c511c969e75e3c508865f40ef16af9a40aa32a58108,001c8e4742540f421534db09c20f18f3446d69ce3b22511b7958138b7f9d4320,diagnostic,30,24,24,0.0,0,25,0,0
6419,20b59e6fc2825a166a4a2e4883256d971504031ffa29f9dec7d4dded17c6dcdd,002760e556e4b16dbdf5f5d32e433b307cc830b3e6573bb98de40885df5211ff,diagnostic,13,9,15,0.7333333333333333,11,5,11,0
5556,07a8baab2d27cfc2a28a7270c86f0bc2c2ba4ad2c2cac7c7238af72b0b2c0aea,0027df7fe42baab1d47257e5b37ea1498437338042ef46b6764c13efd87004dc,diagnostic,23,14,19,0.5789473684210527,11,9,11,0
3702,7ddf253e04dbfa521cb338cf993f033ccdf878696eb30661d3822c4fbc8e2a7b,002d4f8d1ec3814385f56444390b753ed35ff7ec1b2c5d22aa4e498dae464cc8,diagnostic,23,33,34,0.029411764705882353,1,34,1,0
906,5998850799c9e1196d5c56959368f34422cbcad1327900d67bfdd34592eec6b8,002d678344a9501f8a2184c49af62125e59a5a08279477a10c24305d58a30d1d,diagnostic,28,33,38,0.39473684210526316,15,24,19,4
962,ccb3dd0e794d4c20d204148d47a2647c001b7e5e42a6de840e45010082e50f32,00339023ef2bf56e6a6cfe73851531a2aaeb5fd81b36bc0eeb3711fc829da02c,diagnostic,25,33,29,0.7586206896551724,22,8,26,4
3348,22da1663c6c3a882f351a8ce0bec46a82e2f757dc36b38f0cafc51706f04434a,003b1e195e61aff1b94b362331d0653694dea6137badb7186690dcbc1e8cd1cf,diagnostic,23,28,29,0.1724137931034483,5,25,5,0
