split,mechanism,alpha,method,sample_size,target,squared_bias,trace_variance,exact_mse,mc_mean_squared_error,mc_standard_error
diagnostic,edit,0.0,unweighted,64,full_alpha1_population_gradient,0.00016795011486570263,0.00011473622495143246,0.0002826863398171351,0.00028055798892164267,2.059260054876036e-06
diagnostic,edit,0.0,oracle_ipw,64,full_alpha1_population_gradient,0.00013319102717645226,4.716453692536747e-05,0.00018035556410181972,0.00017968894488818246,6.595782130455219e-07
diagnostic,edit,0.05,unweighted,64,full_alpha1_population_gradient,0.00015505095103311435,0.00011476512659049967,0.000269816077623614,0.0002676204791382844,2.0291628793674455e-06
diagnostic,edit,0.05,oracle_ipw,64,full_alpha1_population_gradient,0.00012020490202674814,4.749309122745001e-05,0.00016769799325419815,0.00016697281219296163,6.450176190999472e-07
diagnostic,edit,0.1,unweighted,64,full_alpha1_population_gradient,0.00014278837791689862,0.00011522274523186445,0.00025801112314876304,0.0002557569819708011,2.002080614243276e-06
diagnostic,edit,0.1,oracle_ipw,64,full_alpha1_population_gradient,0.00010788473201292628,4.860239119011612e-05,0.0001564871232030424,0.0001557202239242863,6.379177568713112e-07
diagnostic,edit,0.15000000000000002,unweighted,64,full_alpha1_population_gradient,0.00013116239551705554,0.00011610908087552688,0.0002472714763925824,0.000244967497419193,1.977761861058323e-06
diagnostic,edit,0.15000000000000002,oracle_ipw,64,full_alpha1_population_gradient,9.623051713498672e-05,5.0492436813365823e-05,0.00014672295394835256,0.00014593118008215638,6.345884041495356e-07
diagnostic,edit,0.2,unweighted,64,full_alpha1_population_gradient,0.00012017300383358502,0.00011742413352148686,0.00023759713735507188,0.00023525202548346007,1.956001270890352e-06
diagnostic,edit,0.2,oracle_ipw,64,full_alpha1_population_gradient,8.524225739292942e-05,5.316322809719909e-05,0.00013840548549012851,0.00013760568066657192,6.324463298932516e-07
diagnostic,edit,0.25,unweighted,64,full_alpha1_population_gradient,0.00010982020286648704,0.00011916790316974448,0.0002289881060362315,0.00022661056616360236,1.9366452813915173e-06
diagnostic,edit,0.25,oracle_ipw,64,full_alpha1_population_gradient,7.491995278675437e-05,5.661476504161591e-05,0.00013153471782837028,0.0001307437256775329,6.301688613867155e-07
diagnostic,edit,0.30000000000000004,unweighted,64,full_alpha1_population_gradient,0.00010010399261576165,0.00012134038982029974,0.0002214443824360614,0.0002190431194596198,1.919597057812222e-06
diagnostic,edit,0.30000000000000004,oracle_ipw,64,full_alpha1_population_gradient,6.526360331646161e-05,6.08470476466163e-05,0.0001261106509630779,0.0001253453151150393,6.277397553556653e-07
diagnostic,edit,0.35000000000000003,unweighted,64,full_alpha1_population_gradient,9.102437308140884e-05,0.00012394159347315256,0.0002149659665545614,0.0002125496853715124,1.9048205874405782e-06
diagnostic,edit,0.35000000000000003,oracle_ipw,64,full_alpha1_population_gradient,5.627320898205106e-05,6.586007591220028e-05,0.00012213328489425133,0.00012141044897909115,6.264730774235636e-07
diagnostic,edit,0.4,unweighted,64,full_alpha1_population_gradient,8.258134426342864e-05,0.00012697151412830303,0.00020955285839173167,0.0002071302638992802,1.8923438608951998e-06
diagnostic,edit,0.4,oracle_ipw,64,full_alpha1_population_gradient,4.7948769783522796e-05,7.165384983836788e-05,0.00011960261962189067,0.00011893912726968846,6.290144350179696e-07
diagnostic,edit,0.45,unweighted,64,full_alpha1_population_gradient,7.477490616182097e-05,0.00013043015178575113,0.0002052050579475721,0.00020278485504292312,1.8822610397131414e-06
diagnostic,edit,0.45,oracle_ipw,64,full_alpha1_population_gradient,4.02902857208768e-05,7.822836942511898e-05,0.00011851865514599577,0.00011793134998683116,6.392237678368792e-07
diagnostic,edit,0.5,unweighted,64,full_alpha1_population_gradient,6.760505877658587e-05,0.00013431750644549682,0.00020192256522208268,0.0001995134588024412,1.8747334629051886e-06
diagnostic,edit,0.5,oracle_ipw,64,full_alpha1_population_gradient,3.3297756794113064e-05,8.55836346724537e-05,0.00011888139146656675,0.00011838711713051933,6.617820571646736e-07
