split,mechanism,alpha,method,replicate,squared_error
diagnostic,edit,0.0,unweighted,0,0.00028446815064884736
diagnostic,edit,0.0,unweighted,1,0.00030851756436036114
diagnostic,edit,0.0,unweighted,2,0.0003221110954033439
diagnostic,edit,0.0,unweighted,3,0.0003600795294923788
diagnostic,edit,0.0,unweighted,4,0.00023817924021017923
diagnostic,edit,0.0,unweighted,5,0.00029164588991488776
diagnostic,edit,0.0,unweighted,6,0.00022271274088777647
diagnostic,edit,0.0,unweighted,7,0.00028028822915797814
diagnostic,edit,0.0,unweighted,8,0.00030934208094784684
diagnostic,edit,0.0,unweighted,9,0.00028545371774693965
diagnostic,edit,0.0,unweighted,10,0.00021136154060838347
diagnostic,edit,0.0,unweighted,11,0.00027516689354209565
diagnostic,edit,0.0,unweighted,12,0.00025788700544423685
diagnostic,edit,0.0,unweighted,13,0.00023703017931931458
diagnostic,edit,0.0,unweighted,14,0.0003596620131797168
diagnostic,edit,0.0,unweighted,15,0.0003168828344512738
diagnostic,edit,0.0,unweighted,16,0.00025507904185029435
diagnostic,edit,0.0,unweighted,17,0.0002822881827244779
diagnostic,edit,0.0,unweighted,18,0.0002967281262137123
diagnostic,edit,0.0,unweighted,19,0.00020873029982705448
diagnostic,edit,0.0,unweighted,20,0.0003615086446350856
diagnostic,edit,0.0,unweighted,21,0.00025426934520487174
diagnostic,edit,0.0,unweighted,22,0.0002871764254756214
diagnostic,edit,0.0,unweighted,23,0.00029318622887312577
diagnostic,edit,0.0,unweighted,24,0.00029494839871196813
diagnostic,edit,0.0,unweighted,25,0.0003083541528679911
diagnostic,edit,0.0,unweighted,26,0.0002764954624948299
diagnostic,edit,0.0,unweighted,27,0.0002865364050912142
diagnostic,edit,0.0,unweighted,28,0.00021915627111156058
diagnostic,edit,0.0,unweighted,29,0.0002260978146126159
diagnostic,edit,0.0,unweighted,30,0.00029792399789085644
diagnostic,edit,0.0,unweighted,31,0.00021890337691950846
diagnostic,edit,0.0,unweighted,32,0.00029997590443815877
diagnostic,edit,0.0,unweighted,33,0.00022536280540906607
diagnostic,edit,0.0,unweighted,34,0.00023055593336541823
diagnostic,edit,0.0,unweighted,35,0.0002669117922052995
diagnostic,edit,0.0,unweighted,36,0.0003004515677607736
diagnostic,edit,0.0,unweighted,37,0.00035099255541312636
diagnostic,edit,0.0,unweighted,38,0.0003320130592745929
diagnostic,edit,0.0,unweighted,39,0.00024439116684312054
diagnostic,edit,0.0,unweighted,40,0.0003009829671003286
diagnostic,edit,0.0,unweighted,41,0.0002756496671443864
diagnostic,edit,0.0,unweighted,42,0.00023222176574240827
diagnostic,edit,0.0,unweighted,43,0.00029165881520484274
diagnostic,edit,0.0,unweighted,44,0.0002842616470410067
diagnostic,edit,0.0,unweighted,45,0.0002869972094471124
diagnostic,edit,0.0,unweighted,46,0.00028833059071974254
diagnostic,edit,0.0,unweighted,47,0.0002956660995407231
diagnostic,edit,0.0,unweighted,48,0.00024725882740115295
diagnostic,edit,0.0,unweighted,49,0.0002485498968809518
diagnostic,edit,0.0,unweighted,50,0.0002217716778238276
diagnostic,edit,0.0,unweighted,51,0.0002561760605334629
diagnostic,edit,0.0,unweighted,52,0.00023574714621704318
diagnostic,edit,0.0,unweighted,53,0.00026272254441342624
diagnostic,edit,0.0,unweighted,54,0.00023548436935815273
diagnostic,edit,0.0,unweighted,55,0.0002706645312888483
diagnostic,edit,0.0,unweighted,56,0.0002632311033633046
diagnostic,edit,0.0,unweighted,57,0.000263884089633021
diagnostic,edit,0.0,unweighted,58,0.00027987362915765266
diagnostic,edit,0.0,unweighted,59,0.00029744350083127266
diagnostic,edit,0.0,unweighted,60,0.00024181332530367097
diagnostic,edit,0.0,unweighted,61,0.0002723096650768537
diagnostic,edit,0.0,unweighted,62,0.00024661442198211693
diagnostic,edit,0.0,unweighted,63,0.00022779247886679847
diagnostic,edit,0.0,unweighted,64,0.00025072114506538096
diagnostic,edit,0.0,unweighted,65,0.00027340500874918064
diagnostic,edit,0.0,unweighted,66,0.00026734918026698987
diagnostic,edit,0.0,unweighted,67,0.00020299426304679104
diagnostic,edit,0.0,unweighted,68,0.0002670266439001053
diagnostic,edit,0.0,unweighted,69,0.00031064826469939577
diagnostic,edit,0.0,unweighted,70,0.0002875573597385949
diagnostic,edit,0.0,unweighted,71,0.00027480469412097806
diagnostic,edit,0.0,unweighted,72,0.00033207543657365823
diagnostic,edit,0.0,unweighted,73,0.0002713545987097615
diagnostic,edit,0.0,unweighted,74,0.00029374680339925376
diagnostic,edit,0.0,unweighted,75,0.00023501042654307006
diagnostic,edit,0.0,unweighted,76,0.00028458950705618374
