line,raw_triple_sha256,rank_hash,split,source_length,mt_length,pe_length,edit_fraction,edited_tokens,untouched_tokens,levenshtein_distance,deletions
4207,11112c311b9af993d8b43672799690e9b294e8b4183d5432a49c229a054f4cfe,00091e092cc2577399e449e89526c0c7bfea29bcc4d757228c4f07b47a2396d2,diagnostic,41,50,50,0.0,0,51,0,0
149,29b97fc90f4604351054fa7e92d0f778114ed3bcd5239bee772f254efe9ba3a3,000d76b8a158a3f8142019475a86f22630e985b7fd30dfab40be5e8ac71c80a5,diagnostic,25,30,27,0.07407407407407407,2,26,5,3
5037,3f9bc90fb022e881f0df544670b33d6ffdd289ebad6bae22534b659d2e1b6a30,001ae68318eeea4c5f8b24c46ce4de96ee4333dbddf8eb6f0a9695a6a9476e6d,diagnostic,20,19,22,0.3181818181818182,7,16,7,0
198,f3ced17807c77e38b8224332971470e4cf997814833bfc332c0c63fd4ad8f898,001c8e4742540f421534db09c20f18f3446d69ce3b22511b7958138b7f9d4320,diagnostic,15,19,21,0.23809523809523808,5,17,8,3
6419,2027be5b63511a5e60905d77d414f6ae9b00e46c76be4cf000c4245b82c9ba52,002760e556e4b16dbdf5f5d32e433b307cc830b3e6573bb98de40885df5211ff,diagnostic,22,31,31,0.2903225806451613,9,23,11,2
5556,81c915013880c5e682174d81e1885d9a89ec98f8a05f5a322e5515c020ae7cc2,0027df7fe42baab1d47257e5b37ea1498437338042ef46b6764c13efd87004dc,diagnostic,23,29,28,0.21428571428571427,6,23,10,4
3702,d770330d18fbd774c50681273d01c86d474bf844b874cf42b89db4af31c28d5e,002d4f8d1ec3814385f56444390b753ed35ff7ec1b2c5d22aa4e498dae464cc8,diagnostic,29,31,34,0.7058823529411765,24,11,24,0
906,649e40ac6a84b034ed6f1a0084b120e6bcd8aa7e13ad86ebab76864688b8d585,002d678344a9501f8a2184c49af62125e59a5a08279477a10c24305d58a30d1d,diagnostic,13,19,18,0.1111111111111111,2,17,3,1
962,ce4f90e5d18a646443bb30f7a1b6dea73f9b93a43c0376490902153096ffcd08,00339023ef2bf56e6a6cfe73851531a2aaeb5fd81b36bc0eeb3711fc829da02c,diagnostic,35,36,36,0.0,0,37,0,0
3348,3955d3aedff0752f560120899b7e2dc2a79c86f894de147efe5ee6d63e079476,003b1e195e61aff1b94b362331d0653694dea6137badb7186690dcbc1e8cd1cf,diagnostic,31,32,35,0.11428571428571428,4,32,4,0
250,0a4b826e177e2f0521b38daf1c2f9f545f8907cec5414bd3632e57f3ff35e3d9,0043aa88d313dc860be284e4dfee993c7972bafb6e64dcd0560724b40d756346,diagnostic,16,15,15,0.0,0,16,0,0
5372,cce2097d7fc84b88020963cdc183e86532ad1d3e4445221c4688813900bfece5,004c47a8f04f70d48e021d27e9a9e46026f7b6785ceeef52576078fb60a0017d,diagnostic,36,31,31,0.0967741935483871,3,29,3,0
1766,4432c0ce05bacfefb8b48966ab897eca3d9bccc77e19f54867d0f055e0c0ced5,0068c0f6381d3e98beb448cfb6c3178c46d41a7ce59d713f2d97141067e446f5,diagnostic,33,37,37,0.05405405405405406,2,36,2,0
6449,5f6c7e3f0e2f239177bc97eb735f3443e144fa53e6d58934e32c96fc94fe2760,0069753abd71d6867a7e2e03f903afc829f81ead05ba5f3fbb082b8c166eae4b,diagnostic,19,18,12,0.5,6,7,12,6
1207,98a14360e061bde722b70982a3b98513849b8edb9cea8f08a4d1eeb0e7c7ecab,00795c7dae494d72b349c705bb2705a43693ca203e888eccce16a928b6975816,diagnostic,21,26,26,0.0,0,27,0,0
3493,006a07114d8b8aadca711365ebb61c5d1853e8a8d75fdaebdd3a4dd7cca18a17,007a6f0ba9d074fd74e67605b80349c0d1b4339cf4b453777c1c1e8a237e01e9,diagnostic,34,38,37,0.3783783783783784,14,24,15,1
3707,0bd563c87cb476119010f34ff6fd9b406a44dfb47fb2307b8034af11b95c7f29,007d10b09024a3e5dc36123238881af46475bf6a55b9b797c71e0136d5c54dd3,diagnostic,25,27,27,0.0,0,28,0,0
5264,d97c76da919879947febd506245a198fc0f3dd404c8b7c6fb1ea2a1f5c80cf14,007e0b5664a902f8e68284b002e91ed794825d19fc3a3ada7581227be46ffeb4,diagnostic,17,19,19,0.0,0,20,0,0
5356,08a3894eff670bd256209e6b4d67f0659738675f7bd183d7e23548dc82dbadd2,007e36515bc8a5fd31ae8c504ff0844fe24cf77ef348338073e06b768b938a63,diagnostic,26,27,25,0.4,10,16,13,3
269,7a046ebc19ea033c3d545775058fe2fdbb2b850cb8107a3f921f82aab1268d67,007f64b533334b24f33e704f652a33fec91f7df22e55306aefd2d1a72899ca96,diagnostic,16,14,15,0.13333333333333333,2,14,3,1
4840,67ff0450405407fe68e7e1022195468ed635bee2630ece01bb71642acae90807,0086626a98cd60abb98c719aafb361194a66a852470187cc25dd044287c65dbf,diagnostic,16,17,19,0.21052631578947367,4,16,4,0
6343,eaf89e58058ccd277c5f95b22cfbccde4d908c480b213de574e24c409d571661,009bcdb9eb202c3f081e7c798e196be8f832ca0cd5a6effd94ae4173981ccf1d,diagnostic,21,23,23,0.0,0,24,0,0
